location,latitude,longitude,datetime,temperature_c,dewpoint_c,humidity_pct,precipitation_mm,snow_depth_cm,wind_direction_deg,wind_speed_kmh,wind_gust_kmh,pressure_hpa,sunshine_min,condition_code,condition_label
Orange,-33.2833,149.1,2022-01-01 00:00:00+11:00,14.7,13.2,91.0,0.0,,97.0,10.1,,1015.1,,,
Orange,-33.2833,149.1,2022-01-01 01:00:00+11:00,14.0,13.4,96.0,0.0,,93.0,11.5,,1015.1,,,
Orange,-33.2833,149.1,2022-01-01 02:00:00+11:00,13.6,13.1,97.0,0.0,,96.0,9.7,,1014.4,,,
Orange,-33.2833,149.1,2022-01-01 03:00:00+11:00,13.2,12.7,97.0,0.0,,96.0,9.0,,1013.7,,,
Orange,-33.2833,149.1,2022-01-01 04:00:00+11:00,12.9,12.6,98.0,0.0,,97.0,9.0,,1013.3,,,
Orange,-33.2833,149.1,2022-01-01 05:00:00+11:00,12.6,12.3,98.0,0.0,,103.0,9.0,,1013.4,,,
Orange,-33.2833,149.1,2022-01-01 06:00:00+11:00,12.1,11.8,98.0,0.0,,102.0,7.9,,1014.0,,,
Orange,-33.2833,149.1,2022-01-01 07:00:00+11:00,13.5,12.7,95.0,0.0,,101.0,8.6,,1014.6,,,
Orange,-33.2833,149.1,2022-01-01 08:00:00+11:00,15.8,13.5,86.0,0.0,,72.0,7.2,,1015.3,,,
Orange,-33.2833,149.1,2022-01-01 09:00:00+11:00,17.8,13.5,76.0,0.0,,39.0,8.6,,1015.2,,,
Orange,-33.2833,149.1,2022-01-01 10:00:00+11:00,19.9,14.7,72.0,0.0,,17.0,8.3,,1014.5,,,
Orange,-33.2833,149.1,2022-01-01 11:00:00+11:00,21.2,14.4,65.0,0.2,,318.0,6.1,,1014.1,,,
Orange,-33.2833,149.1,2022-01-01 12:00:00+11:00,22.2,13.3,57.0,0.2,,270.0,5.8,,1013.5,,,
Orange,-33.2833,149.1,2022-01-01 13:00:00+11:00,23.3,12.3,50.0,0.1,,242.0,4.7,,1012.4,,,
Orange,-33.2833,149.1,2022-01-01 14:00:00+11:00,23.7,11.7,47.0,0.0,,228.0,5.0,,1011.6,,,
Orange,-33.2833,149.1,2022-01-01 15:00:00+11:00,24.0,11.7,46.0,0.0,,221.0,5.4,,1010.9,,,
Orange,-33.2833,149.1,2022-01-01 16:00:00+11:00,24.3,11.6,45.0,0.0,,173.0,4.7,,1010.1,,,
Orange,-33.2833,149.1,2022-01-01 17:00:00+11:00,24.6,11.2,43.0,0.0,,110.0,5.4,,1009.4,,,
Orange,-33.2833,149.1,2022-01-01 18:00:00+11:00,24.3,11.3,44.0,0.0,,105.0,3.6,,1009.4,,,
Orange,-33.2833,149.1,2022-01-01 19:00:00+11:00,23.0,13.5,55.0,0.0,,300.0,3.2,,1009.9,,,
Orange,-33.2833,149.1,2022-01-01 20:00:00+11:00,19.9,14.9,73.0,0.0,,290.0,6.1,,1010.8,,,
Orange,-33.2833,149.1,2022-01-01 21:00:00+11:00,18.5,14.0,75.0,0.0,,244.0,6.8,,1011.6,,,
Orange,-33.2833,149.1,2022-01-01 22:00:00+11:00,18.2,13.3,73.0,0.0,,84.0,7.6,,1012.2,,,
Orange,-33.2833,149.1,2022-01-01 23:00:00+11:00,16.6,13.7,83.0,0.0,,70.0,8.3,,1012.8,,,
Orange,-33.2833,149.1,2022-01-02 00:00:00+11:00,15.3,13.7,90.0,0.0,,64.0,7.2,,1012.5,,,
Orange,-33.2833,149.1,2022-01-02 01:00:00+11:00,15.2,13.6,90.0,0.0,,69.0,6.1,,1011.7,,,
Orange,-33.2833,149.1,2022-01-02 02:00:00+11:00,14.9,13.3,90.0,0.0,,70.0,5.0,,1011.0,,,
Orange,-33.2833,149.1,2022-01-02 03:00:00+11:00,14.5,12.9,90.0,0.0,,85.0,4.3,,1010.3,,,
Orange,-33.2833,149.1,2022-01-02 04:00:00+11:00,14.5,12.9,90.0,0.0,,87.0,5.0,,1010.6,,,
Orange,-33.2833,149.1,2022-01-02 05:00:00+11:00,14.3,12.5,89.0,0.0,,79.0,4.7,,1011.0,,,
Orange,-33.2833,149.1,2022-01-02 06:00:00+11:00,14.3,12.3,88.0,0.0,,76.0,5.4,,1011.1,,,
Orange,-33.2833,149.1,2022-01-02 07:00:00+11:00,15.9,13.2,84.0,0.0,,81.0,5.0,,1011.5,,,
Orange,-33.2833,149.1,2022-01-02 08:00:00+11:00,18.4,14.1,76.0,0.0,,65.0,5.0,,1011.8,,,
