latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-30.474518,151.65688,976.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Armidale,-30.5128,151.6686,2022-01-01T00:00,12.7,11.4,95,3,100,24,0.00,0.00,13.3,23.0,0.0,0.00,12.1,435.00
Armidale,-30.5128,151.6686,2022-01-01T01:00,12.7,11.7,96,3,100,95,0.00,0.00,10.8,23.8,0.0,0.00,12.2,430.00
Armidale,-30.5128,151.6686,2022-01-01T02:00,12.8,11.9,95,3,100,100,0.00,0.00,10.3,19.1,0.0,0.00,12.2,410.00
Armidale,-30.5128,151.6686,2022-01-01T03:00,13.1,12.4,95,3,100,100,0.00,0.00,9.5,19.1,0.0,0.00,12.5,365.00
Armidale,-30.5128,151.6686,2022-01-01T04:00,13.3,12.3,95,3,100,100,0.00,0.00,12.6,21.6,0.0,0.00,12.7,340.00
Armidale,-30.5128,151.6686,2022-01-01T05:00,13.2,12.3,96,51,100,99,0.10,0.10,11.9,22.3,0.0,0.00,12.7,370.00
Armidale,-30.5128,151.6686,2022-01-01T06:00,13.6,13.1,94,51,100,1,0.10,0.10,9.7,21.2,28.0,0.00,13.0,390.00
Armidale,-30.5128,151.6686,2022-01-01T07:00,14.4,13.8,92,51,100,9,0.40,0.40,10.4,19.1,76.0,0.00,13.4,460.00
Armidale,-30.5128,151.6686,2022-01-01T08:00,15.7,14.3,82,51,100,100,0.10,0.10,15.6,29.9,205.0,0.00,13.6,490.00
Armidale,-30.5128,151.6686,2022-01-01T09:00,16.4,14.9,77,3,100,34,0.00,0.00,15.7,30.2,202.0,0.00,13.8,780.00
Armidale,-30.5128,151.6686,2022-01-01T10:00,18.9,18.5,74,3,100,7,0.00,0.00,12.3,30.2,470.0,1190.48,15.7,935.00
Armidale,-30.5128,151.6686,2022-01-01T11:00,18.8,17.8,70,3,83,20,0.00,0.00,14.1,29.5,522.0,1896.62,15.2,1160.00
Armidale,-30.5128,151.6686,2022-01-01T12:00,20.5,22.1,58,3,100,5,0.00,0.00,10.7,30.6,978.0,3600.00,15.3,970.00
Armidale,-30.5128,151.6686,2022-01-01T13:00,19.4,18.8,62,3,93,18,0.00,0.00,13.4,28.4,697.0,3600.00,14.7,1060.00
