latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.848858,151.19551,7.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Bondi,-33.8915,151.2767,2022-01-01T00:00,21.8,21.9,73,0,2,2,0.00,0.00,15.2,31.3,0.0,0.00,18.3,895.00
Bondi,-33.8915,151.2767,2022-01-01T01:00,21.5,21.6,74,0,8,8,0.00,0.00,15.0,27.4,0.0,0.00,18.2,905.00
Bondi,-33.8915,151.2767,2022-01-01T02:00,21.2,21.6,76,1,25,25,0.00,0.00,13.9,27.4,0.0,0.00,18.1,930.00
Bondi,-33.8915,151.2767,2022-01-01T03:00,21.0,21.8,77,1,25,25,0.00,0.00,11.1,25.2,0.0,0.00,18.1,900.00
Bondi,-33.8915,151.2767,2022-01-01T04:00,20.5,21.6,80,1,45,45,0.00,0.00,9.5,20.2,0.0,0.00,18.0,890.00
Bondi,-33.8915,151.2767,2022-01-01T05:00,20.3,21.2,81,2,69,55,0.00,0.00,10.2,17.6,1.0,0.00,18.0,935.00
Bondi,-33.8915,151.2767,2022-01-01T06:00,21.3,22.5,80,0,16,14,0.00,0.00,10.1,18.7,52.0,2090.18,18.7,1020.00
Bondi,-33.8915,151.2767,2022-01-01T07:00,22.7,24.4,73,1,36,11,0.00,0.00,7.6,16.9,253.0,3600.00,19.3,1085.00
Bondi,-33.8915,151.2767,2022-01-01T08:00,24.2,24.7,61,3,99,8,0.00,0.00,11.4,23.8,477.0,3600.00,19.0,1200.00
Bondi,-33.8915,151.2767,2022-01-01T09:00,25.0,25.3,59,3,100,4,0.00,0.00,16.8,32.8,659.0,3600.00,19.3,1090.00
Bondi,-33.8915,151.2767,2022-01-01T10:00,25.7,26.3,58,3,100,100,0.00,0.00,17.8,40.7,711.0,3600.00,19.9,980.00
Bondi,-33.8915,151.2767,2022-01-01T11:00,25.1,25.8,65,3,100,2,0.00,0.00,22.3,44.6,774.0,3600.00,20.3,875.00
Bondi,-33.8915,151.2767,2022-01-01T12:00,25.4,27.2,65,51,100,27,0.10,0.10,20.6,46.4,920.0,3600.00,20.5,825.00
Bondi,-33.8915,151.2767,2022-01-01T13:00,25.4,27.2,66,3,100,47,0.00,0.00,19.9,42.8,857.0,3600.00,20.7,865.00
Bondi,-33.8915,151.2767,2022-01-01T14:00,25.6,26.8,66,3,100,43,0.00,0.00,20.2,42.5,729.0,3600.00,20.9,805.00
Bondi,-33.8915,151.2767,2022-01-01T15:00,24.9,25.0,69,3,100,27,0.00,0.00,22.4,43.9,530.0,3600.00,20.7,675.00
Bondi,-33.8915,151.2767,2022-01-01T16:00,24.5,24.6,70,3,100,0,0.00,0.00,21.5,44.3,412.0,2225.46,20.5,670.00
Bondi,-33.8915,151.2767,2022-01-01T17:00,24.1,24.2,73,3,100,0,0.00,0.00,22.7,42.8,299.0,3246.50,20.5,675.00
Bondi,-33.8915,151.2767,2022-01-01T18:00,23.5,23.5,76,3,100,0,0.00,0.00,23.3,44.6,180.0,2707.48,20.4,730.00
Bondi,-33.8915,151.2767,2022-01-01T19:00,22.9,22.8,77,3,99,0,0.00,0.00,23.3,42.8,51.0,1099.15,20.0,755.00
Bondi,-33.8915,151.2767,2022-01-01T20:00,22.5,22.2,78,1,26,0,0.00,0.00,23.2,42.5,0.0,0.00,19.6,615.00
Bondi,-33.8915,151.2767,2022-01-01T21:00,22.0,21.8,81,0,0,0,0.00,0.00,22.4,42.5,0.0,0.00,19.5,575.00
Bondi,-33.8915,151.2767,2022-01-01T22:00,22.3,23.2,80,0,0,0,0.00,0.00,16.0,40.3,0.0,0.00,19.8,570.00
Bondi,-33.8915,151.2767,2022-01-01T23:00,21.8,23.0,85,0,1,0,0.00,0.00,15.3,28.4,0.0,0.00,19.8,615.00
Bondi,-33.8915,151.2767,2022-01-02T00:00,21.4,22.8,88,0,4,0,0.00,0.00,14.2,27.0,0.0,0.00,19.8,620.00
Bondi,-33.8915,151.2767,2022-01-02T01:00,21.0,22.7,89,0,0,0,0.00,0.00,12.1,25.2,0.0,0.00,19.7,590.00
Bondi,-33.8915,151.2767,2022-01-02T02:00,20.6,22.3,91,0,0,0,0.00,0.00,11.8,22.0,0.0,0.00,19.5,550.00
Bondi,-33.8915,151.2767,2022-01-02T03:00,20.3,21.8,92,0,2,2,0.00,0.00,12.6,22.3,0.0,0.00,19.3,525.00
Bondi,-33.8915,151.2767,2022-01-02T04:00,20.2,21.9,93,0,3,3,0.00,0.00,12.1,23.8,0.0,0.00,19.4,480.00
Bondi,-33.8915,151.2767,2022-01-02T05:00,19.5,21.7,95,0,0,0,0.00,0.00,6.8,21.6,1.0,0.00,18.8,400.00
Bondi,-33.8915,151.2767,2022-01-02T06:00,20.3,22.9,91,0,1,0,0.00,0.00,5.0,12.2,78.0,3600.00,19.2,385.00
Bondi,-33.8915,151.2767,2022-01-02T07:00,22.2,24.5,82,0,1,1,0.00,0.00,7.1,16.2,267.0,3600.00,19.9,440.00
Bondi,-33.8915,151.2767,2022-01-02T08:00,23.8,25.7,75,1,22,22,0.00,0.00,11.0,24.5,468.0,3600.00,20.6,550.00
Bondi,-33.8915,151.2767,2022-01-02T09:00,25.3,27.9,69,0,3,3,0.00,0.00,10.9,25.6,679.0,3600.00,21.0,620.00
Bondi,-33.8915,151.2767,2022-01-02T10:00,26.2,28.6,65,0,0,0,0.00,0.00,17.3,34.9,850.0,3600.00,21.3,675.00
Bondi,-33.8915,151.2767,2022-01-02T11:00,26.7,28.8,62,0,10,0,0.00,0.00,21.4,43.9,948.0,3600.00,21.3,690.00
Bondi,-33.8915,151.2767,2022-01-02T12:00,27.1,29.8,62,1,24,0,0.00,0.00,21.1,44.3,1010.0,3600.00,21.7,630.00
Bondi,-33.8915,151.2767,2022-01-02T13:00,27.3,30.3,63,0,3,0,0.00,0.00,20.4,43.6,1000.0,3600.00,22.1,525.00
Bondi,-33.8915,151.2767,2022-01-02T14:00,27.3,30.5,64,0,2,0,0.00,0.00,18.7,42.5,958.0,3600.00,22.2,470.00
Bondi,-33.8915,151.2767,2022-01-02T15:00,26.2,28.3,69,0,1,0,0.00,0.00,21.8,43.9,820.0,3600.00,22.0,470.00
