latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-35.32513,149.156,570.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Canberra,-35.2809,149.13,2022-01-01T00:00,14.2,13.7,83,0,0,0,0.00,0.00,6.4,11.5,0.0,0.00,12.3,60.00
Canberra,-35.2809,149.13,2022-01-01T01:00,13.5,13.1,94,0,0,0,0.00,0.00,7.9,13.3,0.0,0.00,12.8,40.00
Canberra,-35.2809,149.13,2022-01-01T02:00,13.4,13.2,96,0,0,0,0.00,0.00,8.0,14.8,0.0,0.00,13.0,35.00
Canberra,-35.2809,149.13,2022-01-01T03:00,13.2,13.1,96,0,0,0,0.00,0.00,6.6,14.0,0.0,0.00,12.8,45.00
Canberra,-35.2809,149.13,2022-01-01T04:00,12.9,12.7,97,0,0,0,0.00,0.00,6.3,11.5,0.0,0.00,12.5,80.00
Canberra,-35.2809,149.13,2022-01-01T05:00,12.4,12.4,98,0,0,0,0.00,0.00,5.2,10.8,0.0,0.00,12.2,130.00
Canberra,-35.2809,149.13,2022-01-01T06:00,13.9,13.9,95,0,1,1,0.00,0.00,6.4,12.6,73.0,3600.00,13.2,140.00
Canberra,-35.2809,149.13,2022-01-01T07:00,16.3,17.0,85,0,1,1,0.00,0.00,3.3,12.2,265.0,3600.00,14.5,220.00
Canberra,-35.2809,149.13,2022-01-01T08:00,18.5,19.4,75,0,0,0,0.00,0.00,1.9,11.5,482.0,3600.00,15.4,285.00
Canberra,-35.2809,149.13,2022-01-01T09:00,20.9,22.3,65,0,0,0,0.00,0.00,5.1,16.2,689.0,3600.00,16.5,475.00
Canberra,-35.2809,149.13,2022-01-01T10:00,23.5,25.2,54,0,0,0,0.00,0.00,8.7,23.8,864.0,3600.00,17.3,840.00
Canberra,-35.2809,149.13,2022-01-01T11:00,25.4,27.6,51,0,3,0,0.00,0.00,11.6,27.7,986.0,3600.00,18.4,1150.00
Canberra,-35.2809,149.13,2022-01-01T12:00,26.9,29.3,46,0,11,0,0.00,0.00,12.1,28.4,1032.0,3600.00,19.0,1410.00
Canberra,-35.2809,149.13,2022-01-01T13:00,27.8,30.1,40,1,42,0,0.00,0.00,8.8,28.4,996.0,3600.00,18.7,1590.00
Canberra,-35.2809,149.13,2022-01-01T14:00,28.1,29.3,38,1,30,0,0.00,0.00,9.0,23.0,858.0,3600.00,18.5,1690.00
Canberra,-35.2809,149.13,2022-01-01T15:00,28.3,28.8,37,0,19,0,0.00,0.00,8.8,22.3,751.0,3600.00,18.4,1685.00
Canberra,-35.2809,149.13,2022-01-01T16:00,27.9,27.2,38,1,28,0,0.00,0.00,11.4,23.8,603.0,3600.00,18.3,1400.00
Canberra,-35.2809,149.13,2022-01-01T17:00,27.4,26.3,39,1,20,0,0.00,0.00,12.1,25.6,447.0,3600.00,18.1,1110.00
Canberra,-35.2809,149.13,2022-01-01T18:00,26.4,26.0,45,1,20,0,0.00,0.00,10.0,23.4,272.0,3600.00,18.3,370.00
Canberra,-35.2809,149.13,2022-01-01T19:00,23.8,23.5,52,0,6,0,0.00,0.00,9.4,19.1,94.0,3600.00,17.3,175.00
Canberra,-35.2809,149.13,2022-01-01T20:00,21.6,21.8,60,0,7,0,0.00,0.00,6.9,17.3,3.0,0.00,16.5,35.00
Canberra,-35.2809,149.13,2022-01-01T21:00,20.0,20.2,69,0,1,0,0.00,0.00,7.4,12.2,0.0,0.00,16.1,30.00
Canberra,-35.2809,149.13,2022-01-01T22:00,19.0,19.3,70,0,2,0,0.00,0.00,6.1,11.5,0.0,0.00,15.4,40.00
Canberra,-35.2809,149.13,2022-01-01T23:00,19.2,18.9,70,0,9,0,0.00,0.00,10.1,19.4,0.0,0.00,15.5,50.00
Canberra,-35.2809,149.13,2022-01-02T00:00,17.8,18.4,79,0,0,0,0.00,0.00,5.1,18.7,0.0,0.00,15.4,45.00
Canberra,-35.2809,149.13,2022-01-02T01:00,17.7,18.3,78,0,0,0,0.00,0.00,4.2,9.4,0.0,0.00,15.1,30.00
Canberra,-35.2809,149.13,2022-01-02T02:00,17.5,18.6,79,0,0,0,0.00,0.00,1.3,5.8,0.0,0.00,15.0,25.00
Canberra,-35.2809,149.13,2022-01-02T03:00,16.9,18.0,82,0,0,0,0.00,0.00,1.3,4.0,0.0,0.00,14.8,25.00
Canberra,-35.2809,149.13,2022-01-02T04:00,15.2,15.8,90,0,0,0,0.00,0.00,3.9,6.8,0.0,0.00,14.0,25.00
Canberra,-35.2809,149.13,2022-01-02T05:00,14.9,15.3,90,0,0,0,0.00,0.00,4.1,7.2,0.0,0.00,13.7,20.00
Canberra,-35.2809,149.13,2022-01-02T06:00,16.8,17.7,83,0,0,0,0.00,0.00,1.8,6.1,68.0,3600.00,14.7,25.00
Canberra,-35.2809,149.13,2022-01-02T07:00,18.2,19.6,79,0,0,0,0.00,0.00,0.8,7.6,256.0,3600.00,15.7,175.00
Canberra,-35.2809,149.13,2022-01-02T08:00,20.8,21.8,69,0,0,0,0.00,0.00,4.3,13.7,473.0,3600.00,16.9,500.00
Canberra,-35.2809,149.13,2022-01-02T09:00,23.8,24.9,57,0,0,0,0.00,0.00,8.3,20.9,679.0,3600.00,18.0,875.00
Canberra,-35.2809,149.13,2022-01-02T10:00,27.2,29.7,51,0,3,0,0.00,0.00,10.2,25.6,856.0,3600.00,20.1,1065.00
Canberra,-35.2809,149.13,2022-01-02T11:00,29.1,31.3,41,1,27,0,0.00,0.00,11.2,28.8,953.0,3600.00,19.9,1300.00
Canberra,-35.2809,149.13,2022-01-02T12:00,30.0,31.1,33,1,26,0,0.00,0.00,11.1,26.3,918.0,3600.00,19.0,1990.00
Canberra,-35.2809,149.13,2022-01-02T13:00,30.3,31.0,30,0,19,0,0.00,0.00,10.4,25.9,877.0,3600.00,18.7,2145.00
Canberra,-35.2809,149.13,2022-01-02T14:00,30.9,31.6,29,0,4,0,0.00,0.00,10.2,24.8,895.0,3600.00,18.8,2240.00
Canberra,-35.2809,149.13,2022-01-02T15:00,31.4,32.1,29,1,40,0,0.00,0.00,9.4,24.5,864.0,3600.00,19.1,2235.00
Canberra,-35.2809,149.13,2022-01-02T16:00,30.5,30.2,30,1,32,0,0.00,0.00,9.7,22.7,680.0,3600.00,18.8,2050.00
Canberra,-35.2809,149.13,2022-01-02T17:00,29.1,27.6,33,2,61,0,0.00,0.00,13.7,25.6,404.0,3600.00,18.4,1885.00
Canberra,-35.2809,149.13,2022-01-02T18:00,24.9,24.2,54,2,63,0,0.00,0.00,16.2,34.9,208.0,3600.00,18.5,370.00
Canberra,-35.2809,149.13,2022-01-02T19:00,21.7,21.2,65,1,30,0,0.00,0.00,14.8,41.0,53.0,1179.59,17.2,275.00
Canberra,-35.2809,149.13,2022-01-02T20:00,20.5,20.8,71,1,41,0,0.00,0.00,9.0,27.4,3.0,0.00,16.8,110.00
Canberra,-35.2809,149.13,2022-01-02T21:00,19.8,20.0,75,3,97,0,0.00,0.00,10.5,18.7,0.0,0.00,16.6,185.00
Canberra,-35.2809,149.13,2022-01-02T22:00,19.7,20.1,79,2,51,0,0.00,0.00,11.2,20.2,0.0,0.00,17.1,265.00
Canberra,-35.2809,149.13,2022-01-02T23:00,18.7,19.4,82,51,100,0,0.40,0.40,8.7,20.9,0.0,0.00,16.6,335.00
Canberra,-35.2809,149.13,2022-01-03T00:00,18.9,19.3,81,0,15,0,0.00,0.00,9.4,19.1,0.0,0.00,16.5,305.00
Canberra,-35.2809,149.13,2022-01-03T01:00,17.8,18.2,83,0,8,0,0.00,0.00,8.8,18.0,0.0,0.00,15.8,230.00
Canberra,-35.2809,149.13,2022-01-03T02:00,17.0,17.4,86,0,9,0,0.00,0.00,8.3,16.2,0.0,0.00,15.3,215.00
Canberra,-35.2809,149.13,2022-01-03T03:00,16.4,16.7,88,0,0,0,0.00,0.00,7.2,15.1,0.0,0.00,14.9,210.00
Canberra,-35.2809,149.13,2022-01-03T04:00,15.6,15.7,90,0,0,0,0.00,0.00,8.0,14.4,0.0,0.00,14.5,235.00
Canberra,-35.2809,149.13,2022-01-03T05:00,15.1,15.2,91,0,0,0,0.00,0.00,7.2,14.4,0.0,0.00,14.1,250.00
Canberra,-35.2809,149.13,2022-01-03T06:00,16.3,16.5,88,0,0,0,0.00,0.00,8.1,15.1,66.0,3600.00,14.9,330.00
Canberra,-35.2809,149.13,2022-01-03T07:00,18.9,20.0,79,0,0,0,0.00,0.00,4.3,14.8,253.0,3600.00,16.3,380.00
Canberra,-35.2809,149.13,2022-01-03T08:00,21.5,22.8,71,0,8,8,0.00,0.00,5.2,14.4,475.0,3600.00,17.8,590.00
Canberra,-35.2809,149.13,2022-01-03T09:00,23.5,24.9,61,1,29,29,0.00,0.00,7.0,19.4,646.0,3600.00,18.3,780.00
Canberra,-35.2809,149.13,2022-01-03T10:00,25.5,27.7,53,0,14,11,0.00,0.00,8.2,18.7,829.0,3600.00,18.9,935.00
Canberra,-35.2809,149.13,2022-01-03T11:00,27.0,30.2,50,0,11,7,0.00,0.00,7.8,22.0,964.0,3600.00,19.6,1110.00
