latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-32.864674,151.35863,72.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Cessnock,-32.8337,151.3554,2022-01-01T00:00,18.4,18.3,81,0,2,2,0.00,0.00,11.5,21.2,0.0,0.00,16.0,305.00
Cessnock,-32.8337,151.3554,2022-01-01T01:00,18.1,18.1,82,0,2,2,0.00,0.00,11.2,21.6,0.0,0.00,16.0,265.00
Cessnock,-32.8337,151.3554,2022-01-01T02:00,17.9,18.0,84,0,1,1,0.00,0.00,10.8,20.9,0.0,0.00,15.9,195.00
Cessnock,-32.8337,151.3554,2022-01-01T03:00,17.5,17.6,85,2,60,0,0.00,0.00,10.8,20.2,0.0,0.00,15.8,155.00
Cessnock,-32.8337,151.3554,2022-01-01T04:00,17.3,17.4,87,0,18,0,0.00,0.00,10.9,20.5,0.0,0.00,15.7,110.00
Cessnock,-32.8337,151.3554,2022-01-01T05:00,17.0,17.1,89,3,100,0,0.00,0.00,10.3,20.5,0.0,0.00,15.6,60.00
Cessnock,-32.8337,151.3554,2022-01-01T06:00,18.1,18.7,85,3,100,0,0.00,0.00,9.2,19.4,69.0,3600.00,16.4,90.00
Cessnock,-32.8337,151.3554,2022-01-01T07:00,20.0,21.0,78,3,100,2,0.00,0.00,7.2,19.4,239.0,3600.00,17.2,320.00
Cessnock,-32.8337,151.3554,2022-01-01T08:00,21.8,22.9,71,3,91,6,0.00,0.00,6.9,19.1,397.0,3600.00,18.0,500.00
Cessnock,-32.8337,151.3554,2022-01-01T09:00,23.5,25.1,64,2,73,17,0.00,0.00,5.3,19.1,592.0,3600.00,18.6,640.00
Cessnock,-32.8337,151.3554,2022-01-01T10:00,24.1,27.7,64,51,100,7,0.10,0.10,4.4,20.5,841.0,3600.00,19.2,940.00
Cessnock,-32.8337,151.3554,2022-01-01T11:00,25.5,28.3,57,51,100,15,0.10,0.10,4.8,17.6,755.0,3600.00,19.5,1075.00
Cessnock,-32.8337,151.3554,2022-01-01T12:00,26.3,28.8,53,51,100,10,0.10,0.10,5.9,18.7,757.0,3600.00,19.7,1245.00
Cessnock,-32.8337,151.3554,2022-01-01T13:00,27.0,30.2,51,3,100,4,0.00,0.00,4.8,20.2,843.0,3600.00,19.9,1580.00
Cessnock,-32.8337,151.3554,2022-01-01T14:00,27.5,29.5,48,51,100,7,0.10,0.10,5.3,17.3,692.0,3600.00,19.9,1605.00
Cessnock,-32.8337,151.3554,2022-01-01T15:00,26.9,27.5,51,3,100,18,0.00,0.00,9.5,22.7,482.0,3600.00,19.8,1610.00
Cessnock,-32.8337,151.3554,2022-01-01T16:00,25.9,26.0,55,3,100,0,0.00,0.00,12.8,28.1,341.0,1394.96,19.4,955.00
Cessnock,-32.8337,151.3554,2022-01-01T17:00,25.8,25.7,55,3,80,6,0.00,0.00,14.6,30.2,342.0,3600.00,19.4,880.00
Cessnock,-32.8337,151.3554,2022-01-01T18:00,23.8,23.8,66,1,43,0,0.00,0.00,16.8,34.2,198.0,3600.00,19.2,710.00
Cessnock,-32.8337,151.3554,2022-01-01T19:00,21.5,22.4,76,1,49,0,0.00,0.00,11.8,34.2,59.0,3600.00,18.5,595.00
Cessnock,-32.8337,151.3554,2022-01-01T20:00,20.9,22.0,81,3,87,0,0.00,0.00,10.2,22.7,0.0,0.00,18.4,315.00
Cessnock,-32.8337,151.3554,2022-01-01T21:00,20.2,21.4,84,3,95,0,0.00,0.00,9.7,20.9,0.0,0.00,18.2,295.00
Cessnock,-32.8337,151.3554,2022-01-01T22:00,19.5,20.7,89,0,0,0,0.00,0.00,9.8,18.7,0.0,0.00,18.0,270.00
Cessnock,-32.8337,151.3554,2022-01-01T23:00,19.1,20.3,89,0,1,0,0.00,0.00,9.7,18.0,0.0,0.00,17.8,235.00
Cessnock,-32.8337,151.3554,2022-01-02T00:00,18.6,19.8,91,0,0,0,0.00,0.00,9.4,17.3,0.0,0.00,17.5,165.00
Cessnock,-32.8337,151.3554,2022-01-02T01:00,18.1,19.4,94,0,0,0,0.00,0.00,8.0,16.9,0.0,0.00,17.3,110.00
Cessnock,-32.8337,151.3554,2022-01-02T02:00,17.8,19.3,95,0,0,0,0.00,0.00,6.8,13.7,0.0,0.00,17.2,75.00
Cessnock,-32.8337,151.3554,2022-01-02T03:00,17.6,19.0,97,0,0,0,0.00,0.00,7.6,13.3,0.0,0.00,17.2,50.00
Cessnock,-32.8337,151.3554,2022-01-02T04:00,17.4,19.1,98,0,0,0,0.00,0.00,5.2,13.3,0.0,0.00,17.1,20.00
Cessnock,-32.8337,151.3554,2022-01-02T05:00,17.2,18.9,98,0,1,0,0.00,0.00,5.4,7.9,0.0,0.00,17.0,20.00
Cessnock,-32.8337,151.3554,2022-01-02T06:00,18.5,20.3,95,0,14,14,0.00,0.00,7.1,14.0,74.0,3600.00,17.9,35.00
Cessnock,-32.8337,151.3554,2022-01-02T07:00,20.5,22.5,84,2,51,51,0.00,0.00,5.5,18.4,263.0,3600.00,18.5,220.00
Cessnock,-32.8337,151.3554,2022-01-02T08:00,22.4,24.9,78,1,20,20,0.00,0.00,4.1,15.5,461.0,3600.00,19.5,435.00
Cessnock,-32.8337,151.3554,2022-01-02T09:00,24.8,27.8,66,0,1,1,0.00,0.00,4.9,17.3,680.0,3600.00,20.2,760.00
Cessnock,-32.8337,151.3554,2022-01-02T10:00,26.3,30.2,62,0,0,1,0.00,0.00,7.4,20.9,857.0,3600.00,21.0,1200.00
Cessnock,-32.8337,151.3554,2022-01-02T11:00,28.1,32.3,55,0,4,2,0.00,0.00,8.0,23.8,961.0,3600.00,21.4,1470.00
Cessnock,-32.8337,151.3554,2022-01-02T12:00,29.0,33.4,50,0,14,3,0.00,0.00,6.8,23.8,983.0,3600.00,21.5,1680.00
Cessnock,-32.8337,151.3554,2022-01-02T13:00,29.7,33.2,46,1,38,6,0.00,0.00,7.3,21.2,905.0,3600.00,21.3,1885.00
Cessnock,-32.8337,151.3554,2022-01-02T14:00,30.3,32.9,43,1,20,0,0.00,0.00,9.9,25.6,868.0,3600.00,21.3,2040.00
Cessnock,-32.8337,151.3554,2022-01-02T15:00,29.4,30.5,46,1,33,2,0.00,0.00,15.4,34.9,765.0,3600.00,21.0,1930.00
Cessnock,-32.8337,151.3554,2022-01-02T16:00,27.5,27.5,51,0,4,0,0.00,0.00,16.2,37.1,570.0,3600.00,20.3,1535.00
Cessnock,-32.8337,151.3554,2022-01-02T17:00,26.5,26.4,53,0,1,0,0.00,0.00,15.2,34.9,424.0,3600.00,19.8,1065.00
Cessnock,-32.8337,151.3554,2022-01-02T18:00,24.5,24.8,64,0,7,0,0.00,0.00,15.1,32.8,244.0,3600.00,19.6,835.00
Cessnock,-32.8337,151.3554,2022-01-02T19:00,22.5,23.2,73,0,0,0,0.00,0.00,13.4,31.0,65.0,3600.00,19.0,710.00
Cessnock,-32.8337,151.3554,2022-01-02T20:00,21.4,21.9,77,0,0,0,0.00,0.00,13.4,27.4,0.0,0.00,18.4,580.00
Cessnock,-32.8337,151.3554,2022-01-02T21:00,20.4,21.2,81,0,0,0,0.00,0.00,11.3,25.9,0.0,0.00,18.0,525.00
Cessnock,-32.8337,151.3554,2022-01-02T22:00,20.0,21.0,83,0,0,0,0.00,0.00,9.7,21.2,0.0,0.00,17.9,475.00
Cessnock,-32.8337,151.3554,2022-01-02T23:00,19.2,20.3,87,0,0,0,0.00,0.00,9.4,17.6,0.0,0.00,17.6,395.00
Cessnock,-32.8337,151.3554,2022-01-03T00:00,18.8,19.8,89,0,1,1,0.00,0.00,9.8,18.0,0.0,0.00,17.5,250.00
Cessnock,-32.8337,151.3554,2022-01-03T01:00,18.4,19.6,92,0,13,13,0.00,0.00,8.9,17.6,0.0,0.00,17.5,185.00
Cessnock,-32.8337,151.3554,2022-01-03T02:00,18.2,19.6,94,0,7,7,0.00,0.00,7.9,15.8,0.0,0.00,17.5,175.00
Cessnock,-32.8337,151.3554,2022-01-03T03:00,18.0,19.5,94,0,9,9,0.00,0.00,6.7,13.3,0.0,0.00,17.3,125.00
Cessnock,-32.8337,151.3554,2022-01-03T04:00,18.0,19.4,92,0,9,9,0.00,0.00,6.6,11.5,0.0,0.00,17.1,65.00
Cessnock,-32.8337,151.3554,2022-01-03T05:00,18.0,19.3,90,0,7,7,0.00,0.00,6.4,11.2,0.0,0.00,16.8,45.00
Cessnock,-32.8337,151.3554,2022-01-03T06:00,19.4,20.8,85,0,6,6,0.00,0.00,6.5,12.6,73.0,3600.00,17.5,75.00
Cessnock,-32.8337,151.3554,2022-01-03T07:00,21.8,22.9,69,0,10,10,0.00,0.00,5.4,14.4,268.0,3600.00,17.8,690.00
Cessnock,-32.8337,151.3554,2022-01-03T08:00,23.5,23.5,61,1,43,43,0.00,0.00,12.3,27.7,484.0,3600.00,18.2,945.00
Cessnock,-32.8337,151.3554,2022-01-03T09:00,24.6,24.5,55,1,30,30,0.00,0.00,13.9,31.7,586.0,3600.00,18.5,1200.00
Cessnock,-32.8337,151.3554,2022-01-03T10:00,25.6,27.3,56,1,22,5,0.00,0.00,12.8,34.6,798.0,3600.00,19.5,1470.00
Cessnock,-32.8337,151.3554,2022-01-03T11:00,26.9,28.5,50,0,16,16,0.00,0.00,16.6,38.5,982.0,3600.00,19.6,1710.00
Cessnock,-32.8337,151.3554,2022-01-03T12:00,27.1,28.3,48,1,27,27,0.00,0.00,18.4,42.1,969.0,3600.00,19.5,1850.00
