latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.637962,150.29776,1011.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Katoomba,-33.7153,150.3115,2022-01-01T00:00,11.8,11.7,99,0,1,1,0.00,0.00,4.0,14.8,0.0,0.00,11.6,35.00
Katoomba,-33.7153,150.3115,2022-01-01T01:00,11.5,11.1,99,3,100,100,0.00,0.00,5.6,14.0,0.0,0.00,11.3,35.00
Katoomba,-33.7153,150.3115,2022-01-01T02:00,11.0,10.3,98,3,100,100,0.00,0.00,6.3,16.9,0.0,0.00,10.8,35.00
Katoomba,-33.7153,150.3115,2022-01-01T03:00,11.0,10.4,99,3,100,100,0.00,0.00,6.3,16.9,0.0,0.00,10.9,30.00
Katoomba,-33.7153,150.3115,2022-01-01T04:00,11.2,10.6,99,3,100,100,0.00,0.00,5.8,17.3,0.0,0.00,11.0,30.00
Katoomba,-33.7153,150.3115,2022-01-01T05:00,10.9,10.3,99,3,100,100,0.00,0.00,5.5,17.3,0.0,0.00,10.7,30.00
Katoomba,-33.7153,150.3115,2022-01-01T06:00,11.8,11.5,98,3,100,100,0.00,0.00,4.9,16.6,57.0,2287.54,11.5,105.00
Katoomba,-33.7153,150.3115,2022-01-01T07:00,14.5,14.2,85,3,99,58,0.00,0.00,6.1,18.7,247.0,3600.00,12.8,295.00
Katoomba,-33.7153,150.3115,2022-01-01T08:00,16.7,17.3,76,3,84,26,0.00,0.00,1.3,18.4,436.0,3600.00,13.9,465.00
Katoomba,-33.7153,150.3115,2022-01-01T09:00,18.8,20.0,66,1,29,10,0.00,0.00,2.9,15.1,689.0,3600.00,14.7,710.00
Katoomba,-33.7153,150.3115,2022-01-01T10:00,19.9,22.3,59,1,21,1,0.00,0.00,2.9,16.9,896.0,3600.00,14.8,1150.00
Katoomba,-33.7153,150.3115,2022-01-01T11:00,21.8,23.8,51,1,40,1,0.00,0.00,3.2,15.5,873.0,3600.00,15.4,1685.00
Katoomba,-33.7153,150.3115,2022-01-01T12:00,23.1,25.3,45,1,41,1,0.00,0.00,4.7,19.1,974.0,3600.00,15.6,1790.00
Katoomba,-33.7153,150.3115,2022-01-01T13:00,23.1,23.8,43,2,79,0,0.00,0.00,7.2,23.4,845.0,3600.00,15.3,1840.00
Katoomba,-33.7153,150.3115,2022-01-01T14:00,22.9,23.7,45,3,99,0,0.00,0.00,7.6,25.2,845.0,3600.00,15.5,1940.00
Katoomba,-33.7153,150.3115,2022-01-01T15:00,22.4,22.5,48,3,97,0,0.00,0.00,7.6,24.5,695.0,3600.00,15.5,1550.00
Katoomba,-33.7153,150.3115,2022-01-01T16:00,21.8,21.2,53,3,100,1,0.00,0.00,8.4,23.8,549.0,3600.00,15.7,1000.00
Katoomba,-33.7153,150.3115,2022-01-01T17:00,21.0,20.4,60,3,98,2,0.00,0.00,9.9,26.6,401.0,3600.00,15.9,735.00
Katoomba,-33.7153,150.3115,2022-01-01T18:00,19.7,19.2,68,2,76,1,0.00,0.00,10.6,28.4,222.0,3600.00,15.7,640.00
Katoomba,-33.7153,150.3115,2022-01-01T19:00,17.5,17.4,81,0,4,0,0.00,0.00,9.8,26.6,78.0,3600.00,15.2,475.00
Katoomba,-33.7153,150.3115,2022-01-01T20:00,15.6,15.7,96,0,19,5,0.00,0.00,10.2,24.1,1.0,0.00,15.0,55.00
Katoomba,-33.7153,150.3115,2022-01-01T21:00,15.3,15.3,97,0,3,0,0.00,0.00,10.7,25.2,0.0,0.00,14.9,45.00
Katoomba,-33.7153,150.3115,2022-01-01T22:00,15.1,15.3,97,0,4,0,0.00,0.00,9.3,25.9,0.0,0.00,14.8,40.00
Katoomba,-33.7153,150.3115,2022-01-01T23:00,14.6,14.9,96,0,0,0,0.00,0.00,6.1,20.9,0.0,0.00,14.1,45.00
Katoomba,-33.7153,150.3115,2022-01-02T00:00,13.8,13.9,95,0,0,0,0.00,0.00,6.1,14.4,0.0,0.00,13.3,40.00
Katoomba,-33.7153,150.3115,2022-01-02T01:00,13.4,13.1,95,0,8,8,0.00,0.00,7.2,15.5,0.0,0.00,12.8,35.00
