latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.919155,150.93517,14.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Liverpool,-33.92,150.92,2022-01-01T00:00,20.0,21.7,81,0,0,0,0.00,0.00,3.4,7.6,0.0,0.00,17.5,585.00
Liverpool,-33.92,150.92,2022-01-01T01:00,19.5,21.0,82,0,1,1,0.00,0.00,4.8,6.1,0.0,0.00,17.3,580.00
Liverpool,-33.92,150.92,2022-01-01T02:00,18.3,19.4,86,0,8,8,0.00,0.00,6.6,8.3,0.0,0.00,16.6,570.00
Liverpool,-33.92,150.92,2022-01-01T03:00,16.6,17.2,92,0,8,8,0.00,0.00,8.0,9.7,0.0,0.00,15.6,460.00
Liverpool,-33.92,150.92,2022-01-01T04:00,16.2,16.8,93,0,8,8,0.00,0.00,7.9,10.1,0.0,0.00,15.4,375.00
Liverpool,-33.92,150.92,2022-01-01T05:00,16.6,17.4,91,1,32,15,0.00,0.00,6.9,9.7,1.0,0.00,15.6,375.00
Liverpool,-33.92,150.92,2022-01-01T06:00,18.5,19.9,85,1,27,27,0.00,0.00,5.2,10.1,74.0,3600.00,16.8,580.00
Liverpool,-33.92,150.92,2022-01-01T07:00,21.0,22.6,75,2,58,20,0.00,0.00,4.7,13.0,238.0,3600.00,17.8,845.00
Liverpool,-33.92,150.92,2022-01-01T08:00,23.0,24.5,66,1,48,2,0.00,0.00,4.2,15.1,461.0,3600.00,18.5,1075.00
Liverpool,-33.92,150.92,2022-01-01T09:00,25.3,26.3,56,3,100,100,0.00,0.00,12.0,27.0,681.0,3600.00,19.2,1090.00
Liverpool,-33.92,150.92,2022-01-01T10:00,27.5,27.5,47,3,100,45,0.00,0.00,12.3,27.4,542.0,3600.00,19.7,1085.00
Liverpool,-33.92,150.92,2022-01-01T11:00,27.7,28.8,46,3,100,99,0.00,0.00,12.0,27.7,757.0,3600.00,19.7,1045.00
Liverpool,-33.92,150.92,2022-01-01T12:00,27.5,29.8,50,51,98,9,0.20,0.20,13.1,31.0,913.0,3600.00,20.2,1150.00
Liverpool,-33.92,150.92,2022-01-01T13:00,27.9,30.0,49,3,100,64,0.00,0.00,14.7,32.8,944.0,3600.00,20.3,1240.00
Liverpool,-33.92,150.92,2022-01-01T14:00,28.1,29.3,48,3,100,100,0.00,0.00,15.1,35.3,779.0,3600.00,20.4,1200.00
Liverpool,-33.92,150.92,2022-01-01T15:00,28.0,28.6,50,3,100,64,0.00,0.00,15.5,32.8,659.0,3600.00,20.5,980.00
Liverpool,-33.92,150.92,2022-01-01T16:00,26.8,26.6,54,3,100,60,0.00,0.00,18.2,36.4,441.0,3600.00,20.3,960.00
Liverpool,-33.92,150.92,2022-01-01T17:00,25.3,25.5,64,3,100,17,0.00,0.00,18.0,36.4,281.0,2800.29,20.3,750.00
Liverpool,-33.92,150.92,2022-01-01T18:00,24.2,24.6,69,3,100,0,0.00,0.00,18.1,34.9,181.0,2464.52,20.0,710.00
Liverpool,-33.92,150.92,2022-01-01T19:00,23.1,24.1,75,3,99,0,0.00,0.00,14.8,33.8,64.0,2786.39,19.9,695.00
Liverpool,-33.92,150.92,2022-01-01T20:00,22.0,23.3,79,2,79,1,0.00,0.00,11.8,26.3,0.0,0.00,19.3,520.00
Liverpool,-33.92,150.92,2022-01-01T21:00,21.1,22.5,80,2,61,5,0.00,0.00,9.2,20.2,0.0,0.00,18.6,480.00
Liverpool,-33.92,150.92,2022-01-01T22:00,20.4,22.5,90,1,21,4,0.00,0.00,7.7,15.8,0.0,0.00,19.1,440.00
Liverpool,-33.92,150.92,2022-01-01T23:00,19.8,21.8,90,0,0,0,0.00,0.00,6.4,10.4,0.0,0.00,18.6,435.00
Liverpool,-33.92,150.92,2022-01-02T00:00,19.2,21.2,92,0,0,0,0.00,0.00,5.9,10.1,0.0,0.00,18.2,415.00
Liverpool,-33.92,150.92,2022-01-02T01:00,18.6,20.4,93,0,0,0,0.00,0.00,6.1,9.7,0.0,0.00,17.8,380.00
Liverpool,-33.92,150.92,2022-01-02T02:00,18.1,19.7,94,0,0,0,0.00,0.00,6.7,10.1,0.0,0.00,17.4,350.00
Liverpool,-33.92,150.92,2022-01-02T03:00,18.0,19.7,95,0,0,0,0.00,0.00,6.3,10.4,0.0,0.00,17.4,330.00
Liverpool,-33.92,150.92,2022-01-02T04:00,16.9,17.8,97,0,0,0,0.00,0.00,9.1,10.4,0.0,0.00,16.5,260.00
Liverpool,-33.92,150.92,2022-01-02T05:00,17.1,18.4,95,0,0,0,0.00,0.00,6.9,11.2,0.0,0.00,16.6,165.00
Liverpool,-33.92,150.92,2022-01-02T06:00,19.4,21.4,90,0,1,1,0.00,0.00,4.9,10.4,77.0,3600.00,18.2,175.00
Liverpool,-33.92,150.92,2022-01-02T07:00,21.4,24.1,82,0,0,0,0.00,0.00,1.8,10.4,268.0,3600.00,19.1,305.00
Liverpool,-33.92,150.92,2022-01-02T08:00,23.3,25.9,74,0,2,0,0.00,0.00,3.3,14.0,481.0,3600.00,19.9,480.00
Liverpool,-33.92,150.92,2022-01-02T09:00,25.4,28.5,66,0,8,2,0.00,0.00,6.1,18.7,679.0,3600.00,20.7,645.00
Liverpool,-33.92,150.92,2022-01-02T10:00,28.2,31.4,54,0,0,2,0.00,0.00,9.7,24.8,847.0,3600.00,21.4,790.00
Liverpool,-33.92,150.92,2022-01-02T11:00,29.2,32.3,50,1,29,0,0.00,0.00,11.0,26.3,878.0,3600.00,21.7,930.00
Liverpool,-33.92,150.92,2022-01-02T12:00,29.9,32.9,49,0,14,1,0.00,0.00,14.5,33.1,964.0,3600.00,22.1,945.00
Liverpool,-33.92,150.92,2022-01-02T13:00,30.5,33.8,48,0,9,0,0.00,0.00,13.7,33.1,994.0,3600.00,22.3,845.00
Liverpool,-33.92,150.92,2022-01-02T14:00,30.5,33.6,47,2,53,10,0.00,0.00,13.9,32.4,946.0,3600.00,22.3,780.00
Liverpool,-33.92,150.92,2022-01-02T15:00,30.5,32.5,46,2,77,3,0.00,0.00,13.3,31.7,768.0,3600.00,22.1,760.00
Liverpool,-33.92,150.92,2022-01-02T16:00,29.4,29.8,50,0,17,0,0.00,0.00,18.5,37.1,596.0,3600.00,21.8,670.00
Liverpool,-33.92,150.92,2022-01-02T17:00,27.0,26.8,58,1,23,8,0.00,0.00,22.1,42.1,440.0,3600.00,21.0,580.00
Liverpool,-33.92,150.92,2022-01-02T18:00,25.4,25.1,63,0,12,3,0.00,0.00,21.1,42.5,230.0,3600.00,20.3,560.00
Liverpool,-33.92,150.92,2022-01-02T19:00,23.6,24.2,71,0,2,2,0.00,0.00,16.6,38.9,74.0,3600.00,19.9,575.00
Liverpool,-33.92,150.92,2022-01-02T20:00,22.6,23.9,77,0,5,5,0.00,0.00,12.2,29.5,0.0,0.00,19.6,560.00
Liverpool,-33.92,150.92,2022-01-02T21:00,21.9,23.7,80,0,0,0,0.00,0.00,8.2,20.5,0.0,0.00,19.3,615.00
Liverpool,-33.92,150.92,2022-01-02T22:00,21.0,23.1,84,0,0,0,0.00,0.00,6.6,14.0,0.0,0.00,19.0,655.00
