latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.77856,151.23135,15.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Manly,-33.7969,151.2868,2022-01-01T00:00,21.8,21.6,72,0,2,2,0.00,0.00,17.5,37.1,0.0,0.00,18.3,505.00
Manly,-33.7969,151.2868,2022-01-01T01:00,21.6,21.3,73,0,8,8,0.00,0.00,17.7,34.2,0.0,0.00,18.2,485.00
Manly,-33.7969,151.2868,2022-01-01T02:00,21.4,21.3,75,1,27,27,0.00,0.00,16.9,34.6,0.0,0.00,18.2,460.00
Manly,-33.7969,151.2868,2022-01-01T03:00,21.2,21.4,75,1,37,37,0.00,0.00,15.2,32.8,0.0,0.00,18.1,315.00
Manly,-33.7969,151.2868,2022-01-01T04:00,20.9,21.3,77,1,43,43,0.00,0.00,13.9,28.8,0.0,0.00,18.1,220.00
Manly,-33.7969,151.2868,2022-01-01T05:00,20.9,21.1,77,1,39,30,0.00,0.00,14.7,28.8,1.0,0.00,18.0,170.00
Manly,-33.7969,151.2868,2022-01-01T06:00,21.7,22.3,75,0,6,3,0.00,0.00,13.2,28.8,57.0,3305.98,18.5,400.00
Manly,-33.7969,151.2868,2022-01-01T07:00,22.9,23.4,68,1,31,8,0.00,0.00,12.3,28.8,259.0,3600.00,18.7,700.00
Manly,-33.7969,151.2868,2022-01-01T08:00,24.0,24.2,61,3,100,9,0.00,0.00,13.2,32.4,486.0,3600.00,18.8,920.00
Manly,-33.7969,151.2868,2022-01-01T09:00,24.6,24.7,60,3,100,30,0.00,0.00,17.4,40.0,638.0,3600.00,19.1,970.00
Manly,-33.7969,151.2868,2022-01-01T10:00,25.0,25.5,59,3,100,100,0.00,0.00,16.8,45.7,680.0,3600.00,19.4,1080.00
Manly,-33.7969,151.2868,2022-01-01T11:00,24.6,25.3,67,3,100,8,0.00,0.00,20.9,48.6,718.0,3600.00,20.1,1115.00
Manly,-33.7969,151.2868,2022-01-01T12:00,25.1,26.9,65,51,100,27,0.10,0.10,19.9,50.4,909.0,3600.00,20.3,1300.00
Manly,-33.7969,151.2868,2022-01-01T13:00,25.2,26.7,66,51,100,37,0.10,0.10,18.6,47.5,778.0,3600.00,20.5,1325.00
Manly,-33.7969,151.2868,2022-01-01T14:00,25.4,26.6,66,3,100,51,0.00,0.00,19.6,47.5,736.0,3600.00,20.7,1245.00
Manly,-33.7969,151.2868,2022-01-01T15:00,24.6,24.7,70,3,100,23,0.00,0.00,21.6,49.0,529.0,3288.52,20.6,1125.00
Manly,-33.7969,151.2868,2022-01-01T16:00,24.3,24.6,72,3,100,0,0.00,0.00,20.7,49.3,399.0,2006.53,20.5,1105.00
Manly,-33.7969,151.2868,2022-01-01T17:00,23.7,23.8,75,3,100,0,0.00,0.00,22.7,49.7,302.0,3074.21,20.4,735.00
Manly,-33.7969,151.2868,2022-01-01T18:00,23.2,23.4,78,3,100,0,0.00,0.00,22.3,50.8,179.0,2815.09,20.4,705.00
Manly,-33.7969,151.2868,2022-01-01T19:00,22.7,22.7,78,3,99,0,0.00,0.00,22.1,47.5,49.0,592.12,19.9,675.00
Manly,-33.7969,151.2868,2022-01-01T20:00,22.3,22.2,79,2,57,0,0.00,0.00,22.6,45.0,0.0,0.00,19.6,490.00
Manly,-33.7969,151.2868,2022-01-01T21:00,21.9,22.0,82,0,0,0,0.00,0.00,20.9,45.0,0.0,0.00,19.5,440.00
Manly,-33.7969,151.2868,2022-01-01T22:00,22.3,23.2,81,0,0,0,0.00,0.00,16.2,41.4,0.0,0.00,19.8,405.00
