latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-32.934975,151.76471,16.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Newcastle,-32.9283,151.7817,2022-01-01T00:00,21.6,21.1,72,0,4,4,0.00,0.00,18.7,33.1,0.0,0.00,18.0,610.00
Newcastle,-32.9283,151.7817,2022-01-01T01:00,21.4,20.9,73,0,2,2,0.00,0.00,17.8,32.8,0.0,0.00,17.9,580.00
Newcastle,-32.9283,151.7817,2022-01-01T02:00,21.0,20.9,75,0,4,4,0.00,0.00,16.0,31.3,0.0,0.00,17.8,520.00
Newcastle,-32.9283,151.7817,2022-01-01T03:00,20.8,20.6,75,1,21,4,0.00,0.00,15.5,28.4,0.0,0.00,17.7,495.00
Newcastle,-32.9283,151.7817,2022-01-01T04:00,20.5,20.3,76,1,23,2,0.00,0.00,16.2,29.2,0.0,0.00,17.5,490.00
Newcastle,-32.9283,151.7817,2022-01-01T05:00,20.5,20.0,75,3,99,0,0.00,0.00,16.6,29.9,1.0,0.00,17.3,435.00
Newcastle,-32.9283,151.7817,2022-01-01T06:00,21.1,21.1,74,3,100,1,0.00,0.00,15.3,30.2,76.0,3600.00,17.8,470.00
Newcastle,-32.9283,151.7817,2022-01-01T07:00,22.1,22.4,72,3,100,3,0.00,0.00,14.4,28.4,251.0,3600.00,18.5,570.00
Newcastle,-32.9283,151.7817,2022-01-01T08:00,23.3,23.5,68,3,95,12,0.00,0.00,15.6,32.4,418.0,3600.00,19.1,780.00
Newcastle,-32.9283,151.7817,2022-01-01T09:00,24.9,25.2,61,51,100,14,0.10,0.10,17.3,35.6,636.0,3600.00,19.5,855.00
Newcastle,-32.9283,151.7817,2022-01-01T10:00,25.5,26.6,58,51,100,22,0.10,0.10,15.0,36.4,731.0,3600.00,19.7,1135.00
Newcastle,-32.9283,151.7817,2022-01-01T11:00,25.5,25.4,58,51,98,21,0.20,0.20,15.6,32.4,460.0,880.72,19.5,1260.00
Newcastle,-32.9283,151.7817,2022-01-01T12:00,26.2,26.7,55,51,100,13,0.30,0.30,17.7,36.0,716.0,3600.00,19.8,1370.00
Newcastle,-32.9283,151.7817,2022-01-01T13:00,25.5,26.3,62,53,100,20,0.50,0.50,20.2,43.2,730.0,3600.00,20.3,1540.00
Newcastle,-32.9283,151.7817,2022-01-01T14:00,25.2,25.3,65,51,97,14,0.10,0.10,20.0,42.5,548.0,2735.57,20.5,1450.00
Newcastle,-32.9283,151.7817,2022-01-01T15:00,25.5,25.4,64,51,67,5,0.10,0.10,21.7,42.1,526.0,3600.00,20.6,1290.00
Newcastle,-32.9283,151.7817,2022-01-01T16:00,25.2,24.3,65,3,98,3,0.00,0.00,26.6,50.8,496.0,3600.00,20.5,875.00
Newcastle,-32.9283,151.7817,2022-01-01T17:00,23.8,22.6,69,3,92,2,0.00,0.00,26.8,51.1,169.0,0.00,19.6,830.00
Newcastle,-32.9283,151.7817,2022-01-01T18:00,22.9,22.4,74,3,100,2,0.00,0.00,23.0,50.0,141.0,1090.17,19.5,720.00
Newcastle,-32.9283,151.7817,2022-01-01T19:00,22.4,22.3,77,3,97,1,0.00,0.00,21.3,42.8,35.0,0.00,19.5,650.00
Newcastle,-32.9283,151.7817,2022-01-01T20:00,22.1,22.7,79,3,83,0,0.00,0.00,16.6,37.8,0.0,0.00,19.4,435.00
Newcastle,-32.9283,151.7817,2022-01-01T21:00,21.6,22.6,80,3,82,0,0.00,0.00,13.6,28.8,0.0,0.00,19.1,435.00
Newcastle,-32.9283,151.7817,2022-01-01T22:00,21.8,22.6,82,3,90,0,0.00,0.00,15.5,23.8,0.0,0.00,19.4,455.00
Newcastle,-32.9283,151.7817,2022-01-01T23:00,21.5,22.2,82,0,4,0,0.00,0.00,15.8,28.1,0.0,0.00,19.2,500.00
Newcastle,-32.9283,151.7817,2022-01-02T00:00,21.1,22.0,84,0,4,0,0.00,0.00,15.3,28.1,0.0,0.00,19.1,505.00
Newcastle,-32.9283,151.7817,2022-01-02T01:00,20.8,21.7,88,0,0,0,0.00,0.00,15.3,27.0,0.0,0.00,19.2,450.00
Newcastle,-32.9283,151.7817,2022-01-02T02:00,20.5,21.3,89,0,0,0,0.00,0.00,16.9,29.9,0.0,0.00,19.2,370.00
