latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.77856,150.67165,29.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Penrith,-33.7508,150.6942,2022-01-01T00:00,19.4,20.8,81,0,0,0,0.00,0.00,4.2,7.6,0.0,0.00,17.0,150.00
Penrith,-33.7508,150.6942,2022-01-01T01:00,19.5,20.9,80,0,4,4,0.00,0.00,3.8,6.1,0.0,0.00,17.0,155.00
Penrith,-33.7508,150.6942,2022-01-01T02:00,19.0,20.7,81,0,9,9,0.00,0.00,1.9,6.1,0.0,0.00,16.8,115.00
Penrith,-33.7508,150.6942,2022-01-01T03:00,17.0,18.5,90,0,8,8,0.00,0.00,2.2,4.7,0.0,0.00,15.8,50.00
Penrith,-33.7508,150.6942,2022-01-01T04:00,16.5,17.8,91,0,5,5,0.00,0.00,2.4,5.0,0.0,0.00,15.4,40.00
Penrith,-33.7508,150.6942,2022-01-01T05:00,15.9,17.0,92,1,41,15,0.00,0.00,2.6,5.8,0.0,0.00,14.9,35.00
Penrith,-33.7508,150.6942,2022-01-01T06:00,17.6,18.9,88,0,13,13,0.00,0.00,4.2,9.0,74.0,3600.00,16.2,50.00
Penrith,-33.7508,150.6942,2022-01-01T07:00,20.8,23.0,76,2,62,2,0.00,0.00,0.4,9.4,264.0,3600.00,17.8,540.00
Penrith,-33.7508,150.6942,2022-01-01T08:00,22.2,23.8,69,2,55,0,0.00,0.00,4.3,14.4,482.0,3600.00,18.2,645.00
Penrith,-33.7508,150.6942,2022-01-01T09:00,23.9,25.6,62,2,74,57,0.00,0.00,7.0,19.8,655.0,3600.00,18.8,805.00
Penrith,-33.7508,150.6942,2022-01-01T10:00,24.9,26.9,60,3,100,100,0.00,0.00,5.8,19.8,641.0,3600.00,19.4,980.00
Penrith,-33.7508,150.6942,2022-01-01T11:00,26.0,28.2,56,3,97,17,0.00,0.00,2.9,15.8,592.0,3600.00,19.8,1195.00
Penrith,-33.7508,150.6942,2022-01-01T12:00,27.4,30.9,50,3,98,4,0.00,0.00,2.3,14.0,816.0,3600.00,20.1,1365.00
Penrith,-33.7508,150.6942,2022-01-01T13:00,28.2,32.3,47,2,76,0,0.00,0.00,5.0,17.6,977.0,3600.00,20.3,1435.00
Penrith,-33.7508,150.6942,2022-01-01T14:00,28.5,31.6,47,3,88,0,0.00,0.00,7.2,20.9,893.0,3600.00,20.4,1460.00
Penrith,-33.7508,150.6942,2022-01-01T15:00,28.3,30.2,48,3,87,0,0.00,0.00,9.2,23.0,724.0,3600.00,20.6,1330.00
Penrith,-33.7508,150.6942,2022-01-01T16:00,28.1,29.0,49,3,94,10,0.00,0.00,9.7,23.8,566.0,3600.00,20.5,1105.00
Penrith,-33.7508,150.6942,2022-01-01T17:00,27.3,27.7,51,3,99,51,0.00,0.00,12.6,27.7,425.0,3600.00,20.2,865.00
Penrith,-33.7508,150.6942,2022-01-01T18:00,24.6,25.8,68,1,45,0,0.00,0.00,13.4,28.8,189.0,3600.00,20.4,720.00
Penrith,-33.7508,150.6942,2022-01-01T19:00,23.0,25.1,77,0,1,0,0.00,0.00,7.7,27.0,75.0,3600.00,20.0,620.00
Penrith,-33.7508,150.6942,2022-01-01T20:00,21.6,24.1,84,0,5,5,0.00,0.00,5.4,14.4,0.0,0.00,19.6,350.00
Penrith,-33.7508,150.6942,2022-01-01T21:00,20.8,23.3,88,0,0,0,0.00,0.00,5.1,9.4,0.0,0.00,19.3,305.00
Penrith,-33.7508,150.6942,2022-01-01T22:00,19.6,21.6,91,0,0,0,0.00,0.00,6.8,10.8,0.0,0.00,18.5,240.00
