latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-31.107206,150.92636,375.0,36000,Australia/Sydney,GMT+10

location,latitude,longitude,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s),wet_bulb_temperature_2m (°C),boundary_layer_height (m)
Tamworth,-31.0833,150.9167,2022-01-01T00:00,18.2,17.8,77,3,99,1,0.00,0.00,11.9,26.6,0.0,0.00,15.4,325.00
Tamworth,-31.0833,150.9167,2022-01-01T01:00,18.0,17.9,77,3,100,5,0.00,0.00,9.7,22.3,0.0,0.00,15.3,325.00
Tamworth,-31.0833,150.9167,2022-01-01T02:00,17.9,17.8,76,3,100,2,0.00,0.00,9.0,18.0,0.0,0.00,15.1,360.00
Tamworth,-31.0833,150.9167,2022-01-01T03:00,18.0,18.1,76,3,100,2,0.00,0.00,7.1,16.6,0.0,0.00,15.1,390.00
Tamworth,-31.0833,150.9167,2022-01-01T04:00,17.9,18.2,76,3,100,10,0.00,0.00,5.7,13.0,0.0,0.00,15.1,390.00
Tamworth,-31.0833,150.9167,2022-01-01T05:00,17.8,18.2,77,3,100,5,0.00,0.00,5.3,11.2,0.0,0.00,15.1,360.00
Tamworth,-31.0833,150.9167,2022-01-01T06:00,18.5,19.1,77,3,100,4,0.00,0.00,5.5,10.8,36.0,0.00,15.7,365.00
Tamworth,-31.0833,150.9167,2022-01-01T07:00,19.9,20.8,71,3,100,0,0.00,0.00,3.8,10.8,124.0,0.00,16.3,445.00
Tamworth,-31.0833,150.9167,2022-01-01T08:00,21.3,22.8,67,3,100,0,0.00,0.00,1.3,10.1,270.0,1890.50,17.1,460.00
Tamworth,-31.0833,150.9167,2022-01-01T09:00,23.1,24.4,62,3,100,2,0.00,0.00,4.7,16.6,583.0,3600.00,18.0,635.00
Tamworth,-31.0833,150.9167,2022-01-01T10:00,25.2,25.6,51,3,100,3,0.00,0.00,7.6,18.0,455.0,1395.53,18.4,1175.00
Tamworth,-31.0833,150.9167,2022-01-01T11:00,26.0,27.6,49,51,72,1,0.10,0.10,5.4,22.0,707.0,3600.00,18.6,1280.00
Tamworth,-31.0833,150.9167,2022-01-01T12:00,23.5,24.5,58,51,100,57,0.30,0.30,14.7,32.8,858.0,3600.00,17.8,1405.00
Tamworth,-31.0833,150.9167,2022-01-01T13:00,20.0,20.9,85,63,100,0,2.70,2.70,11.9,36.4,399.0,3276.91,18.1,1850.00
Tamworth,-31.0833,150.9167,2022-01-01T14:00,21.2,22.9,84,55,100,1,1.00,1.00,9.5,25.9,434.0,2760.31,19.2,1835.00
Tamworth,-31.0833,150.9167,2022-01-01T15:00,23.1,24.7,67,3,98,0,0.00,0.00,4.5,22.3,440.0,3292.14,18.7,1450.00
Tamworth,-31.0833,150.9167,2022-01-01T16:00,24.3,25.7,58,3,100,0,0.00,0.00,3.4,14.4,390.0,3600.00,18.6,510.00
Tamworth,-31.0833,150.9167,2022-01-01T17:00,23.9,25.2,60,3,100,0,0.00,0.00,4.3,11.2,178.0,112.91,18.5,535.00
Tamworth,-31.0833,150.9167,2022-01-01T18:00,23.6,25.9,67,2,51,3,0.00,0.00,2.3,11.9,154.0,3600.00,19.3,480.00
Tamworth,-31.0833,150.9167,2022-01-01T19:00,21.5,22.9,72,1,42,1,0.00,0.00,5.4,9.7,57.0,3547.89,18.0,380.00
Tamworth,-31.0833,150.9167,2022-01-01T20:00,21.5,21.1,63,1,43,2,0.00,0.00,11.6,20.9,0.0,0.00,16.8,50.00
Tamworth,-31.0833,150.9167,2022-01-01T21:00,20.0,19.7,69,0,3,0,0.00,0.00,11.2,21.2,0.0,0.00,16.2,40.00
Tamworth,-31.0833,150.9167,2022-01-01T22:00,19.9,19.9,73,0,1,0,0.00,0.00,10.6,21.6,0.0,0.00,16.5,45.00
Tamworth,-31.0833,150.9167,2022-01-01T23:00,18.7,19.1,80,0,1,0,0.00,0.00,9.4,19.1,0.0,0.00,16.3,45.00
Tamworth,-31.0833,150.9167,2022-01-02T00:00,17.9,18.2,84,0,1,0,0.00,0.00,10.2,18.4,0.0,0.00,16.0,55.00
Tamworth,-31.0833,150.9167,2022-01-02T01:00,17.5,18.1,86,0,2,1,0.00,0.00,7.6,19.1,0.0,0.00,15.8,105.00
Tamworth,-31.0833,150.9167,2022-01-02T02:00,16.1,17.0,92,0,2,0,0.00,0.00,5.4,13.3,0.0,0.00,15.2,260.00
Tamworth,-31.0833,150.9167,2022-01-02T03:00,16.5,16.7,91,0,0,0,0.00,0.00,10.2,17.3,0.0,0.00,15.4,305.00
Tamworth,-31.0833,150.9167,2022-01-02T04:00,16.5,16.9,89,0,6,6,0.00,0.00,7.9,18.7,0.0,0.00,15.2,185.00
Tamworth,-31.0833,150.9167,2022-01-02T05:00,16.4,16.6,88,0,16,16,0.00,0.00,8.6,15.5,0.0,0.00,15.0,85.00
Tamworth,-31.0833,150.9167,2022-01-02T06:00,17.8,18.3,83,0,0,0,0.00,0.00,7.4,15.5,62.0,3551.23,15.7,180.00
Tamworth,-31.0833,150.9167,2022-01-02T07:00,20.0,21.5,75,0,1,0,0.00,0.00,2.8,14.0,257.0,3600.00,17.0,285.00
Tamworth,-31.0833,150.9167,2022-01-02T08:00,22.2,24.0,68,0,1,0,0.00,0.00,1.5,11.2,480.0,3600.00,18.0,390.00
Tamworth,-31.0833,150.9167,2022-01-02T09:00,24.3,26.8,58,0,2,2,0.00,0.00,1.4,12.2,684.0,3600.00,18.6,1025.00
