latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-28.717049,153.5959,12.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,21.6,22.3,84,51,41,0.10,0.10,17.5,35.3,0.0,0.00
2022-01-01T01:00,21.8,22.6,81,1,40,0.00,0.00,15.9,32.8,0.0,0.00
2022-01-01T02:00,22.0,23.0,78,2,79,0.00,0.00,12.7,29.5,0.0,0.00
2022-01-01T03:00,22.1,23.2,78,3,98,0.00,0.00,12.3,22.7,0.0,0.00
2022-01-01T04:00,22.1,24.1,78,3,100,0.00,0.00,6.3,22.3,0.0,0.00
2022-01-01T05:00,21.6,23.1,82,53,100,0.50,0.50,10.8,19.1,0.0,0.00
2022-01-01T06:00,21.1,22.5,88,53,100,0.60,0.60,13.7,24.8,12.0,0.00
2022-01-01T07:00,20.3,23.2,100,53,100,0.90,0.90,7.6,24.8,59.0,0.00
2022-01-01T08:00,21.0,24.3,100,53,100,0.80,0.80,7.3,14.8,108.0,0.00
2022-01-01T09:00,21.1,24.5,100,55,100,1.00,1.00,7.4,15.8,137.0,0.00
2022-01-01T10:00,23.4,25.4,79,55,100,1.00,1.00,11.0,24.8,314.0,0.00
2022-01-01T11:00,23.2,25.5,79,61,100,1.50,1.50,9.0,25.2,414.0,0.00
2022-01-01T12:00,23.1,25.4,84,51,100,0.40,0.40,11.4,23.0,258.0,0.00
2022-01-01T13:00,23.9,25.5,75,51,100,0.30,0.30,13.1,29.2,536.0,1322.77
2022-01-01T14:00,23.2,25.8,81,53,100,0.90,0.90,8.1,30.2,293.0,0.00
2022-01-01T15:00,22.9,26.0,84,53,100,0.60,0.60,5.8,20.9,341.0,1191.56
2022-01-01T16:00,22.9,25.2,80,53,96,0.60,0.60,8.0,19.4,387.0,3600.00
2022-01-01T17:00,22.2,24.0,84,53,100,0.90,0.90,11.5,23.8,309.0,3600.00
2022-01-01T18:00,20.1,22.5,100,61,97,1.50,1.50,10.0,25.2,105.0,2322.15
2022-01-01T19:00,19.7,22.1,100,63,100,3.10,3.10,9.0,19.1,9.0,0.00
2022-01-01T20:00,19.9,23.3,100,53,92,0.60,0.60,3.1,16.9,0.0,0.00
2022-01-01T21:00,19.9,22.8,100,53,97,0.60,0.60,6.0,15.8,0.0,0.00
2022-01-01T22:00,21.3,24.2,90,53,100,0.70,0.70,4.9,12.6,0.0,0.00
2022-01-01T23:00,19.8,22.9,100,61,100,1.70,1.70,4.3,14.8,0.0,0.00
2022-01-02T00:00,19.8,22.1,100,53,100,0.50,0.50,10.4,18.0,0.0,0.00
2022-01-02T01:00,19.5,21.9,100,53,55,0.50,0.50,8.5,22.0,0.0,0.00
2022-01-02T02:00,19.7,22.5,100,51,66,0.10,0.10,6.9,17.6,0.0,0.00
2022-01-02T03:00,19.8,22.7,100,51,56,0.20,0.20,6.3,13.3,0.0,0.00
2022-01-02T04:00,19.7,22.3,100,51,100,0.10,0.10,7.2,13.7,0.0,0.00
2022-01-02T05:00,19.2,21.4,100,55,100,1.20,1.20,9.4,19.1,0.0,0.00
2022-01-02T06:00,19.8,22.0,100,51,100,0.40,0.40,11.2,22.3,22.0,0.00
2022-01-02T07:00,21.0,23.0,95,51,18,0.10,0.10,13.5,26.6,110.0,0.00
2022-01-02T08:00,22.1,24.1,87,51,17,0.10,0.10,12.5,31.7,436.0,3600.00
2022-01-02T09:00,22.3,24.0,84,53,25,0.60,0.60,13.8,35.6,574.0,3600.00
2022-01-02T10:00,23.3,24.2,77,51,90,0.20,0.20,22.6,42.8,729.0,3600.00
2022-01-02T11:00,24.4,24.5,68,51,32,0.10,0.10,26.1,56.2,761.0,3600.00
2022-01-02T12:00,24.9,25.4,63,51,21,0.10,0.10,26.3,57.6,923.0,3600.00
2022-01-02T13:00,25.4,26.1,59,0,5,0.00,0.00,25.9,56.9,1017.0,3600.00
2022-01-02T14:00,25.1,25.4,60,0,19,0.00,0.00,26.2,57.2,921.0,3600.00
2022-01-02T15:00,24.8,24.3,61,0,15,0.00,0.00,27.4,59.0,791.0,3600.00
2022-01-02T16:00,24.3,22.9,63,1,25,0.00,0.00,27.7,59.4,616.0,3600.00
2022-01-02T17:00,23.4,22.0,67,1,21,0.00,0.00,26.9,59.0,400.0,3600.00
2022-01-02T18:00,22.9,21.9,71,1,25,0.00,0.00,24.5,56.2,180.0,3600.00
2022-01-02T19:00,22.0,21.4,76,51,56,0.10,0.10,23.0,47.9,26.0,2164.68
2022-01-02T20:00,21.8,21.3,79,51,40,0.10,0.10,23.0,44.6,0.0,0.00
2022-01-02T21:00,21.8,21.3,79,51,17,0.10,0.10,23.6,46.1,0.0,0.00
2022-01-02T22:00,21.5,21.7,85,0,12,0.00,0.00,21.4,45.7,0.0,0.00
2022-01-02T23:00,21.2,21.2,85,1,46,0.00,0.00,22.3,41.8,0.0,0.00
2022-01-03T00:00,21.5,21.1,82,51,67,0.10,0.10,23.5,45.0,0.0,0.00
2022-01-03T01:00,21.5,20.8,80,51,58,0.10,0.10,25.1,47.9,0.0,0.00
2022-01-03T02:00,21.1,20.5,83,51,68,0.10,0.10,25.0,47.9,0.0,0.00
2022-01-03T03:00,20.9,20.3,84,51,38,0.10,0.10,24.8,48.2,0.0,0.00
