latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-30.26362,153.12646,9.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,20.0,22.0,86,51,77,0.20,0.20,4.5,9.7,0.0,0.00
2022-01-01T01:00,20.6,22.2,83,51,100,0.10,0.10,8.1,13.7,0.0,0.00
2022-01-01T02:00,20.2,21.5,85,51,100,0.10,0.10,10.2,19.1,0.0,0.00
2022-01-01T03:00,20.0,21.9,85,51,100,0.20,0.20,6.0,20.9,0.0,0.00
2022-01-01T04:00,19.6,21.8,87,51,100,0.20,0.20,3.3,11.5,0.0,0.00
2022-01-01T05:00,20.0,22.6,88,51,100,0.10,0.10,1.8,6.8,0.0,0.00
2022-01-01T06:00,19.9,22.6,93,51,100,0.10,0.10,3.6,6.5,29.0,0.00
2022-01-01T07:00,20.4,23.5,94,53,100,0.90,0.90,2.9,9.0,79.0,0.00
2022-01-01T08:00,19.6,22.6,100,53,100,0.60,0.60,4.9,14.0,132.0,0.00
2022-01-01T09:00,20.1,23.6,100,61,100,1.50,1.50,3.2,14.8,134.0,0.00
2022-01-01T10:00,20.5,23.6,93,61,100,1.40,1.40,3.7,14.4,116.0,0.00
2022-01-01T11:00,21.8,24.5,87,51,100,0.20,0.20,6.3,19.8,437.0,1388.43
2022-01-01T12:00,22.4,24.8,82,51,92,0.10,0.10,6.8,20.2,416.0,0.00
2022-01-01T13:00,22.5,24.9,81,51,100,0.10,0.10,7.4,20.2,371.0,0.00
2022-01-01T14:00,20.8,22.2,89,63,100,4.70,4.70,12.3,28.4,414.0,294.31
2022-01-01T15:00,19.9,22.5,95,53,100,0.50,0.50,5.6,28.1,189.0,0.00
2022-01-01T16:00,20.6,23.9,95,51,100,0.30,0.30,3.3,16.2,343.0,1134.32
2022-01-01T17:00,20.4,23.0,92,61,100,1.50,1.50,5.2,14.4,134.0,0.00
2022-01-01T18:00,20.4,23.9,100,55,100,1.20,1.20,3.1,13.3,69.0,0.00
2022-01-01T19:00,19.4,22.4,100,53,100,0.50,0.50,3.9,8.6,7.0,0.00
2022-01-01T20:00,19.2,22.4,100,55,100,1.20,1.20,2.2,8.6,0.0,0.00
2022-01-01T21:00,19.4,22.6,100,55,100,1.00,1.00,2.2,8.3,0.0,0.00
2022-01-01T22:00,19.5,22.2,95,51,100,0.30,0.30,3.1,6.5,0.0,0.00
2022-01-01T23:00,20.5,23.4,88,51,100,0.30,0.30,1.6,6.8,0.0,0.00
2022-01-02T00:00,20.8,23.5,86,51,100,0.40,0.40,2.9,8.3,0.0,0.00
2022-01-02T01:00,20.8,23.7,87,53,100,0.50,0.50,1.6,8.6,0.0,0.00
2022-01-02T02:00,19.0,21.6,100,61,87,1.80,1.80,5.1,11.2,0.0,0.00
2022-01-02T03:00,18.4,21.1,100,55,82,1.20,1.20,2.5,12.6,0.0,0.00
2022-01-02T04:00,19.2,20.9,94,51,69,0.10,0.10,8.9,18.0,0.0,0.00
2022-01-02T05:00,18.0,20.1,100,51,74,0.30,0.30,4.8,17.3,0.0,0.00
2022-01-02T06:00,19.1,21.6,100,53,86,0.50,0.50,6.9,13.7,61.0,3600.00
2022-01-02T07:00,20.0,21.8,92,55,58,1.00,1.00,9.0,20.2,214.0,3600.00
2022-01-02T08:00,20.9,22.6,89,51,33,0.10,0.10,10.7,29.5,366.0,3600.00
2022-01-02T09:00,21.9,24.1,86,51,35,0.10,0.10,10.8,29.5,579.0,3600.00
2022-01-02T10:00,22.5,24.7,74,51,100,0.10,0.10,13.0,32.4,796.0,3600.00
2022-01-02T11:00,23.2,24.7,76,51,32,0.40,0.40,13.8,33.8,594.0,3600.00
2022-01-02T12:00,24.1,26.1,69,51,82,0.10,0.10,15.2,39.6,794.0,3600.00
2022-01-02T13:00,23.8,24.9,69,51,28,0.20,0.20,16.3,38.9,684.0,3600.00
2022-01-02T14:00,24.5,26.4,65,51,24,0.10,0.10,17.6,41.8,895.0,3600.00
2022-01-02T15:00,24.0,24.9,67,51,27,0.10,0.10,19.3,44.6,741.0,3600.00
2022-01-02T16:00,23.5,23.3,67,51,23,0.20,0.20,19.0,45.0,560.0,3600.00
2022-01-02T17:00,23.4,23.3,67,0,16,0.00,0.00,16.9,43.2,386.0,3600.00
2022-01-02T18:00,22.1,22.5,75,1,38,0.00,0.00,15.8,36.4,196.0,3600.00
2022-01-02T19:00,21.0,22.0,83,53,34,0.60,0.60,13.2,33.1,31.0,2912.28
2022-01-02T20:00,20.8,22.0,84,1,37,0.00,0.00,11.3,28.1,0.0,0.00
2022-01-02T21:00,20.6,21.9,86,51,48,0.10,0.10,11.7,23.8,0.0,0.00
2022-01-02T22:00,21.0,21.9,85,51,43,0.20,0.20,14.1,24.8,0.0,0.00
2022-01-02T23:00,20.5,21.7,89,51,54,0.30,0.30,13.7,28.1,0.0,0.00
2022-01-03T00:00,20.0,20.9,92,51,53,0.20,0.20,15.7,32.8,0.0,0.00
2022-01-03T01:00,19.7,20.4,93,51,45,0.20,0.20,16.9,34.6,0.0,0.00
2022-01-03T02:00,19.5,19.9,94,51,44,0.20,0.20,18.7,38.5,0.0,0.00
2022-01-03T03:00,19.1,19.0,93,51,54,0.10,0.10,20.6,42.5,0.0,0.00
2022-01-03T04:00,18.9,18.5,92,51,43,0.20,0.20,21.1,43.6,0.0,0.00
2022-01-03T05:00,18.7,18.1,91,51,100,0.20,0.20,21.5,44.6,0.0,0.00
2022-01-03T06:00,18.9,18.2,90,51,100,0.40,0.40,22.3,47.2,36.0,0.00
2022-01-03T07:00,19.1,18.1,89,53,100,0.50,0.50,25.1,51.8,63.0,0.00
2022-01-03T08:00,20.4,19.5,84,51,100,0.10,0.10,24.5,55.4,222.0,1680.40
2022-01-03T09:00,21.9,20.8,78,51,75,0.10,0.10,27.2,59.0,429.0,3600.00
2022-01-03T10:00,21.5,20.9,83,51,94,0.40,0.40,26.4,67.0,587.0,3600.00
2022-01-03T11:00,22.2,21.1,79,51,98,0.20,0.20,29.3,62.6,389.0,0.00
2022-01-03T12:00,23.6,22.4,72,51,42,0.20,0.20,34.1,74.5,744.0,3600.00
2022-01-03T13:00,24.1,23.4,72,51,44,0.10,0.10,32.8,75.6,767.0,3600.00
