latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-31.4587,152.90323,16.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,22.1,21.8,70,2,51,0.00,0.00,17.7,31.3,0.0,0.00
2022-01-01T01:00,22.1,22.0,70,2,75,0.00,0.00,15.7,31.3,0.0,0.00
2022-01-01T02:00,21.4,22.0,75,3,99,0.00,0.00,12.8,28.4,0.0,0.00
2022-01-01T03:00,20.2,21.6,86,3,100,0.00,0.00,10.1,22.3,0.0,0.00
2022-01-01T04:00,19.8,21.7,91,3,100,0.00,0.00,8.0,17.6,0.0,0.00
2022-01-01T05:00,19.3,20.9,94,3,98,0.00,0.00,10.0,16.9,1.0,0.00
2022-01-01T06:00,20.5,21.8,87,3,100,0.00,0.00,12.2,21.6,55.0,1884.37
2022-01-01T07:00,21.5,22.1,77,3,100,0.00,0.00,14.1,26.6,147.0,353.05
2022-01-01T08:00,22.0,22.1,75,3,100,0.00,0.00,17.6,34.6,304.0,3600.00
2022-01-01T09:00,22.5,22.9,75,51,100,0.10,0.10,16.4,36.0,431.0,3600.00
2022-01-01T10:00,22.9,23.1,72,51,100,0.10,0.10,16.9,33.8,338.0,0.00
2022-01-01T11:00,22.5,24.0,78,3,100,0.00,0.00,11.4,32.4,405.0,855.64
2022-01-01T12:00,22.1,24.4,79,51,100,0.10,0.10,6.0,24.5,192.0,0.00
2022-01-01T13:00,23.3,25.3,74,3,100,0.00,0.00,8.0,18.4,505.0,3210.05
2022-01-01T14:00,23.2,24.4,74,3,100,0.00,0.00,13.2,28.1,550.0,3472.23
2022-01-01T15:00,23.2,23.8,74,51,100,0.20,0.20,16.7,33.1,539.0,3600.00
2022-01-01T16:00,21.2,21.6,84,53,100,0.50,0.50,18.8,40.7,216.0,0.00
2022-01-01T17:00,20.9,22.1,88,61,100,1.40,1.40,14.0,36.0,105.0,0.00
2022-01-01T18:00,20.9,22.8,91,53,100,0.60,0.60,10.7,28.4,34.0,0.00
2022-01-01T19:00,20.3,22.3,94,51,100,0.30,0.30,10.4,21.2,13.0,0.00
2022-01-01T20:00,20.7,22.2,93,53,100,0.80,0.80,14.3,25.9,0.0,0.00
2022-01-01T21:00,20.6,22.0,92,53,100,0.60,0.60,14.4,25.9,0.0,0.00
2022-01-01T22:00,20.6,22.4,92,51,100,0.10,0.10,11.8,25.9,0.0,0.00
2022-01-01T23:00,20.9,22.6,91,3,81,0.00,0.00,12.1,22.3,0.0,0.00
2022-01-02T00:00,20.8,22.4,91,51,70,0.10,0.10,12.2,21.6,0.0,0.00
2022-01-02T01:00,20.4,22.5,92,51,50,0.20,0.20,8.4,23.0,0.0,0.00
2022-01-02T02:00,20.0,22.5,95,2,62,0.00,0.00,6.6,15.5,0.0,0.00
2022-01-02T03:00,19.8,22.4,97,2,54,0.00,0.00,5.6,12.6,0.0,0.00
