latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-32.231987,148.61986,265.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,20.0,19.0,63,0,1,0.00,0.00,12.6,21.6,0.0,0.00
2022-01-01T01:00,19.4,18.9,72,0,4,0.00,0.00,13.1,22.0,0.0,0.00
2022-01-01T02:00,18.9,18.4,77,0,13,0.00,0.00,14.1,24.5,0.0,0.00
2022-01-01T03:00,18.6,18.0,79,1,21,0.00,0.00,15.5,27.0,0.0,0.00
2022-01-01T04:00,18.5,17.8,80,1,33,0.00,0.00,15.6,27.0,0.0,0.00
2022-01-01T05:00,18.1,17.7,82,0,11,0.00,0.00,14.3,27.0,0.0,0.00
2022-01-01T06:00,18.8,19.0,80,0,0,0.00,0.00,10.5,24.1,47.0,3203.28
2022-01-01T07:00,20.7,21.9,74,0,3,0.00,0.00,5.8,17.6,232.0,3600.00
2022-01-01T08:00,22.6,23.9,67,0,18,0.00,0.00,5.8,15.8,446.0,3600.00
2022-01-01T09:00,24.4,26.0,63,1,22,0.00,0.00,9.3,22.3,637.0,3600.00
2022-01-01T10:00,26.0,28.3,57,0,15,0.00,0.00,11.6,25.6,821.0,3600.00
2022-01-01T11:00,27.1,29.8,52,3,98,0.00,0.00,9.4,26.3,855.0,3600.00
2022-01-01T12:00,28.2,32.0,45,3,85,0.00,0.00,5.5,23.4,983.0,3600.00
2022-01-01T13:00,28.6,31.5,42,1,43,0.00,0.00,3.8,18.4,855.0,3600.00
2022-01-01T14:00,29.5,33.2,39,1,27,0.00,0.00,2.3,15.5,976.0,3600.00
2022-01-01T15:00,29.5,32.0,37,1,20,0.00,0.00,2.4,13.3,817.0,3600.00
2022-01-01T16:00,29.6,31.2,36,1,45,0.00,0.00,0.4,12.2,643.0,3600.00
2022-01-01T17:00,29.0,29.6,37,1,42,0.00,0.00,2.1,8.3,420.0,3600.00
2022-01-01T18:00,28.0,29.9,49,1,32,0.00,0.00,2.3,7.6,243.0,3600.00
2022-01-01T19:00,25.8,27.6,58,1,21,0.00,0.00,4.6,5.4,78.0,3600.00
2022-01-01T20:00,23.5,24.8,64,0,12,0.00,0.00,5.9,6.8,1.0,0.00
2022-01-01T21:00,22.5,23.1,63,0,2,0.00,0.00,7.2,10.4,0.0,0.00
2022-01-01T22:00,21.9,22.2,62,0,2,0.00,0.00,7.2,15.8,0.0,0.00
2022-01-01T23:00,21.0,21.2,66,0,0,0.00,0.00,8.0,13.0,0.0,0.00
2022-01-02T00:00,20.4,20.6,68,0,0,0.00,0.00,8.1,13.7,0.0,0.00
2022-01-02T01:00,19.5,19.9,73,0,0,0.00,0.00,7.1,13.0,0.0,0.00
2022-01-02T02:00,18.6,19.2,77,0,0,0.00,0.00,6.2,11.2,0.0,0.00
2022-01-02T03:00,17.8,18.6,82,0,0,0.00,0.00,5.2,9.4,0.0,0.00
2022-01-02T04:00,17.5,18.2,84,0,0,0.00,0.00,6.9,11.2,0.0,0.00
2022-01-02T05:00,17.3,17.9,87,0,0,0.00,0.00,7.7,12.6,0.0,0.00
