latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.28647,149.1492,872.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,14.2,14.1,94,0,1,0.00,0.00,8.5,15.5,0.0,0.00
2022-01-01T01:00,13.6,13.6,96,0,0,0.00,0.00,7.0,15.1,0.0,0.00
2022-01-01T02:00,12.6,12.3,98,0,0,0.00,0.00,6.9,11.5,0.0,0.00
2022-01-01T03:00,12.9,12.7,98,0,0,0.00,0.00,7.2,12.6,0.0,0.00
2022-01-01T04:00,12.8,12.4,99,0,13,0.00,0.00,8.0,14.8,0.0,0.00
2022-01-01T05:00,12.2,12.0,100,3,97,0.00,0.00,6.3,14.0,0.0,0.00
2022-01-01T06:00,13.4,13.3,98,3,98,0.00,0.00,7.4,13.7,53.0,3488.47
2022-01-01T07:00,15.6,16.1,89,2,67,0.00,0.00,5.4,14.0,235.0,3600.00
2022-01-01T08:00,17.8,18.3,79,3,93,0.00,0.00,6.0,16.9,458.0,3600.00
2022-01-01T09:00,19.8,20.9,73,3,93,0.00,0.00,7.6,20.2,654.0,3600.00
2022-01-01T10:00,21.8,23.3,63,51,100,0.20,0.20,9.8,22.0,813.0,3600.00
2022-01-01T11:00,22.1,23.5,57,51,31,0.10,0.10,7.6,23.4,783.0,3600.00
2022-01-01T12:00,22.9,25.3,52,0,17,0.00,0.00,4.3,20.2,901.0,3600.00
2022-01-01T13:00,23.8,26.7,48,51,34,0.10,0.10,2.3,17.3,943.0,3600.00
2022-01-01T14:00,24.1,26.9,46,51,35,0.10,0.10,1.6,16.2,921.0,3600.00
2022-01-01T15:00,24.0,25.9,46,1,44,0.00,0.00,1.1,14.8,775.0,3600.00
2022-01-01T16:00,24.0,24.2,46,1,36,0.00,0.00,3.8,12.2,604.0,3600.00
2022-01-01T17:00,23.5,23.4,48,1,26,0.00,0.00,4.1,12.6,435.0,3600.00
2022-01-01T18:00,22.9,23.6,57,1,31,0.00,0.00,3.3,10.4,241.0,3600.00
2022-01-01T19:00,20.1,20.6,72,1,27,0.00,0.00,7.6,9.0,86.0,3600.00
2022-01-01T20:00,18.5,18.7,73,0,15,0.00,0.00,6.2,9.4,1.0,0.00
2022-01-01T21:00,20.1,20.4,62,0,15,0.00,0.00,3.8,7.9,0.0,0.00
2022-01-01T22:00,16.7,16.7,82,0,5,0.00,0.00,7.8,10.8,0.0,0.00
2022-01-01T23:00,15.7,15.8,84,0,2,0.00,0.00,6.1,10.8,0.0,0.00
2022-01-02T00:00,14.4,14.0,88,0,0,0.00,0.00,8.6,10.4,0.0,0.00
2022-01-02T01:00,15.5,15.1,80,0,0,0.00,0.00,7.3,10.4,0.0,0.00
2022-01-02T02:00,14.9,14.3,83,0,0,0.00,0.00,8.0,10.4,0.0,0.00
2022-01-02T03:00,16.5,16.5,76,0,0,0.00,0.00,4.3,9.7,0.0,0.00
2022-01-02T04:00,16.6,16.5,76,0,0,0.00,0.00,6.0,7.2,0.0,0.00
2022-01-02T05:00,15.7,15.3,79,0,0,0.00,0.00,7.4,9.0,0.0,0.00
2022-01-02T06:00,15.9,16.2,83,0,0,0.00,0.00,5.0,9.0,60.0,3445.66
2022-01-02T07:00,18.3,19.1,77,0,0,0.00,0.00,4.1,11.5,255.0,3600.00
2022-01-02T08:00,20.5,21.5,70,0,1,0.00,0.00,4.1,13.3,479.0,3600.00
2022-01-02T09:00,22.5,24.5,63,0,7,0.00,0.00,4.7,15.8,689.0,3600.00
2022-01-02T10:00,23.4,24.6,60,2,52,0.00,0.00,11.3,17.3,746.0,3600.00
2022-01-02T11:00,24.8,26.9,51,51,43,0.10,0.10,7.7,25.2,859.0,3600.00
2022-01-02T12:00,26.1,28.9,43,1,31,0.00,0.00,5.0,20.2,970.0,3600.00
2022-01-02T13:00,27.5,29.8,35,1,37,0.00,0.00,5.3,16.6,1004.0,3600.00
2022-01-02T14:00,28.0,29.1,32,0,14,0.00,0.00,7.9,18.7,939.0,3600.00
2022-01-02T15:00,27.7,27.6,33,1,20,0.00,0.00,11.6,24.1,821.0,3600.00
2022-01-02T16:00,26.9,26.0,36,0,8,0.00,0.00,12.2,25.9,673.0,3600.00
2022-01-02T17:00,26.0,24.9,40,0,11,0.00,0.00,9.9,24.1,485.0,3600.00
2022-01-02T18:00,24.8,25.6,54,0,10,0.00,0.00,5.2,20.2,283.0,3600.00
2022-01-02T19:00,24.6,24.6,45,0,11,0.00,0.00,3.8,9.4,90.0,3600.00
2022-01-02T20:00,20.5,20.9,62,0,14,0.00,0.00,4.3,5.8,1.0,0.00
2022-01-02T21:00,19.8,19.6,63,1,31,0.00,0.00,6.5,10.1,0.0,0.00
2022-01-02T22:00,19.2,18.5,65,0,17,0.00,0.00,10.2,15.8,0.0,0.00
2022-01-02T23:00,17.4,17.5,80,3,100,0.00,0.00,7.4,17.3,0.0,0.00
2022-01-03T00:00,17.6,17.6,82,0,10,0.00,0.00,10.1,18.7,0.0,0.00
2022-01-03T01:00,16.5,17.2,90,1,30,0.00,0.00,6.0,18.0,0.0,0.00
2022-01-03T02:00,16.1,16.6,92,0,12,0.00,0.00,7.6,12.2,0.0,0.00
2022-01-03T03:00,15.4,15.7,96,0,0,0.00,0.00,8.2,15.1,0.0,0.00
2022-01-03T04:00,14.6,15.1,98,0,0,0.00,0.00,5.8,14.4,0.0,0.00
2022-01-03T05:00,13.9,14.3,98,0,0,0.00,0.00,5.7,10.1,0.0,0.00
2022-01-03T06:00,15.4,15.7,95,0,0,0.00,0.00,8.7,15.1,58.0,3402.30
2022-01-03T07:00,17.0,17.3,88,0,0,0.00,0.00,9.0,19.8,248.0,3600.00
2022-01-03T08:00,18.7,19.0,81,0,1,0.00,0.00,10.1,23.4,470.0,3600.00
2022-01-03T09:00,20.6,21.7,71,0,0,0.00,0.00,10.1,24.5,683.0,3600.00
2022-01-03T10:00,23.0,26.2,66,0,13,0.00,0.00,6.4,24.8,862.0,3600.00
2022-01-03T11:00,24.5,28.0,61,1,38,0.00,0.00,6.5,27.0,918.0,3600.00
2022-01-03T12:00,25.5,28.0,53,51,30,0.10,0.10,9.7,24.5,922.0,3600.00
2022-01-03T13:00,26.4,27.6,43,1,31,0.00,0.00,12.3,27.4,941.0,3600.00
2022-01-03T14:00,27.5,27.3,34,0,19,0.00,0.00,13.3,27.7,854.0,3600.00
2022-01-03T15:00,27.9,27.3,32,0,16,0.00,0.00,14.2,28.8,841.0,3600.00
2022-01-03T16:00,26.9,25.6,35,0,14,0.00,0.00,13.5,28.8,659.0,3600.00
2022-01-03T17:00,24.8,23.2,48,1,24,0.00,0.00,16.6,31.7,463.0,3600.00
2022-01-03T18:00,22.9,22.1,58,0,18,0.00,0.00,14.5,32.8,268.0,3600.00
2022-01-03T19:00,21.0,20.3,65,0,5,0.00,0.00,14.5,26.6,93.0,3600.00
2022-01-03T20:00,19.4,18.4,70,0,0,0.00,0.00,14.9,28.4,2.0,0.00
2022-01-03T21:00,18.0,16.6,74,0,1,0.00,0.00,16.4,29.9,0.0,0.00
2022-01-03T22:00,16.6,15.3,78,0,0,0.00,0.00,15.6,29.9,0.0,0.00
2022-01-03T23:00,15.6,14.5,84,0,0,0.00,0.00,14.0,28.4,0.0,0.00
2022-01-04T00:00,14.8,13.5,90,0,1,0.00,0.00,15.2,27.4,0.0,0.00
2022-01-04T01:00,14.1,12.8,93,0,4,0.00,0.00,15.3,28.1,0.0,0.00
2022-01-04T02:00,13.6,12.4,94,0,7,0.00,0.00,13.4,28.1,0.0,0.00
2022-01-04T03:00,13.2,12.3,94,0,1,0.00,0.00,10.7,24.1,0.0,0.00
2022-01-04T04:00,12.9,12.1,94,0,1,0.00,0.00,10.3,19.8,0.0,0.00
2022-01-04T05:00,12.8,11.8,95,0,1,0.00,0.00,10.8,20.2,0.0,0.00
2022-01-04T06:00,13.8,12.7,91,0,1,0.00,0.00,12.8,22.3,57.0,3358.05
2022-01-04T07:00,15.8,14.6,80,0,2,0.00,0.00,13.1,26.6,249.0,3600.00
2022-01-04T08:00,17.9,16.5,71,0,2,0.00,0.00,14.4,29.9,473.0,3600.00
2022-01-04T09:00,19.6,19.0,66,0,0,0.00,0.00,15.7,33.1,690.0,3600.00
2022-01-04T10:00,22.1,23.5,64,0,0,0.00,0.00,14.0,33.8,873.0,3600.00
