latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.411247,150.90567,10.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,20.5,21.2,82,0,1,0.00,0.00,13.7,31.0,0.0,0.00
2022-01-01T01:00,20.3,20.9,83,0,0,0.00,0.00,13.3,28.4,0.0,0.00
2022-01-01T02:00,20.2,20.8,82,0,1,0.00,0.00,13.4,28.1,0.0,0.00
2022-01-01T03:00,19.9,20.6,82,0,15,0.00,0.00,11.0,28.1,0.0,0.00
2022-01-01T04:00,19.2,19.9,82,0,14,0.00,0.00,10.0,22.7,0.0,0.00
2022-01-01T05:00,19.1,19.7,82,0,16,0.00,0.00,9.9,20.5,1.0,0.00
2022-01-01T06:00,20.2,20.9,79,1,20,0.00,0.00,10.3,23.4,70.0,3600.00
2022-01-01T07:00,21.7,22.7,73,2,71,0.00,0.00,9.5,23.8,242.0,3600.00
2022-01-01T08:00,23.0,23.4,66,2,52,0.00,0.00,12.6,31.3,456.0,3600.00
2022-01-01T09:00,24.4,24.9,57,0,1,0.00,0.00,14.9,37.8,703.0,3600.00
2022-01-01T10:00,24.5,26.0,61,3,100,0.00,0.00,15.6,41.0,831.0,3600.00
2022-01-01T11:00,25.7,26.7,55,3,82,0.00,0.00,19.1,44.6,902.0,3600.00
2022-01-01T12:00,24.8,25.5,65,1,33,0.00,0.00,27.1,61.9,985.0,3600.00
2022-01-01T13:00,24.7,25.9,66,3,100,0.00,0.00,26.5,62.6,1034.0,3600.00
2022-01-01T14:00,24.8,25.7,67,3,100,0.00,0.00,27.0,61.9,963.0,3600.00
2022-01-01T15:00,24.4,25.2,71,3,100,0.00,0.00,23.9,61.9,765.0,3600.00
2022-01-01T16:00,23.8,23.2,74,3,100,0.00,0.00,26.3,58.7,524.0,3600.00
2022-01-01T17:00,23.8,23.2,73,3,100,0.00,0.00,25.2,59.0,409.0,3600.00
2022-01-01T18:00,23.1,23.0,76,3,100,0.00,0.00,23.2,55.8,204.0,3600.00
2022-01-01T19:00,22.5,22.6,80,3,100,0.00,0.00,21.9,47.9,70.0,3600.00
