latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.90334,150.6472,20.0,36000,Australia/Sydney,GMT+10

time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),weather_code (wmo code),cloud_cover (%),precipitation (mm),rain (mm),windspeed_10m (km/h),windgusts_10m (km/h),shortwave_radiation (W/m²),sunshine_duration (s)
2022-01-01T00:00,19.6,21.0,82,0,0,0.00,0.00,5.9,11.2,0.0,0.00
2022-01-01T01:00,18.6,20.4,86,0,1,0.00,0.00,3.3,7.6,0.0,0.00
2022-01-01T02:00,15.9,17.2,97,0,14,0.00,0.00,3.6,5.4,0.0,0.00
2022-01-01T03:00,15.8,17.0,98,2,52,0.00,0.00,4.0,6.5,0.0,0.00
2022-01-01T04:00,15.3,16.3,98,2,78,0.00,0.00,4.3,7.6,0.0,0.00
2022-01-01T05:00,14.9,15.7,98,3,92,0.00,0.00,4.6,7.6,1.0,0.00
2022-01-01T06:00,16.8,17.8,93,0,14,0.00,0.00,6.2,12.6,81.0,3600.00
2022-01-01T07:00,20.6,22.6,80,0,2,0.00,0.00,3.4,13.0,284.0,3600.00
2022-01-01T08:00,23.0,25.0,70,2,51,0.00,0.00,3.9,12.6,497.0,3600.00
2022-01-01T09:00,25.0,26.5,60,1,26,0.00,0.00,12.1,27.7,700.0,3600.00
2022-01-01T10:00,26.1,27.8,55,2,67,0.00,0.00,14.6,32.0,869.0,3600.00
2022-01-01T11:00,27.5,29.5,50,3,100,0.00,0.00,15.5,34.9,961.0,3600.00
2022-01-01T12:00,27.5,29.7,54,3,82,0.00,0.00,19.4,42.5,1018.0,3600.00
2022-01-01T13:00,26.6,28.0,59,0,12,0.00,0.00,25.3,53.6,1028.0,3600.00
2022-01-01T14:00,26.2,27.3,61,3,100,0.00,0.00,25.9,54.0,958.0,3600.00
2022-01-01T15:00,25.7,26.3,65,2,75,0.00,0.00,25.8,56.2,818.0,3600.00
2022-01-01T16:00,25.0,25.3,70,3,99,0.00,0.00,23.6,53.3,630.0,3600.00
2022-01-01T17:00,24.0,23.9,74,1,45,0.00,0.00,24.4,51.1,404.0,3600.00
2022-01-01T18:00,23.4,23.8,76,2,63,0.00,0.00,20.1,49.3,259.0,3600.00
2022-01-01T19:00,22.6,23.6,80,2,79,0.00,0.00,16.1,38.5,78.0,3600.00
2022-01-01T20:00,21.9,23.2,83,0,4,0.00,0.00,12.8,30.2,1.0,0.00
2022-01-01T21:00,21.2,23.0,85,2,59,0.00,0.00,8.9,23.4,0.0,0.00
2022-01-01T22:00,19.5,21.1,90,2,51,0.00,0.00,9.1,15.8,0.0,0.00
2022-01-01T23:00,20.4,22.3,85,0,13,0.00,0.00,5.7,11.2,0.0,0.00
2022-01-02T00:00,18.6,20.4,93,0,0,0.00,0.00,6.5,8.3,0.0,0.00
2022-01-02T01:00,18.2,19.9,94,0,0,0.00,0.00,6.9,9.0,0.0,0.00
2022-01-02T02:00,17.8,19.5,97,0,0,0.00,0.00,5.9,8.6,0.0,0.00
2022-01-02T03:00,17.5,19.4,98,0,1,0.00,0.00,4.4,8.6,0.0,0.00
2022-01-02T04:00,17.0,18.6,99,0,2,0.00,0.00,5.1,7.2,0.0,0.00
2022-01-02T05:00,16.5,18.0,100,2,53,0.00,0.00,4.3,8.3,1.0,0.00
2022-01-02T06:00,18.4,20.2,95,0,16,0.00,0.00,6.5,12.6,80.0,3600.00
2022-01-02T07:00,21.6,24.4,84,0,1,0.00,0.00,3.2,13.0,270.0,3600.00
2022-01-02T08:00,23.8,26.6,75,0,0,0.00,0.00,3.6,13.0,481.0,3600.00
2022-01-02T09:00,25.8,29.0,70,0,0,0.00,0.00,9.0,22.0,681.0,3600.00
2022-01-02T10:00,27.5,30.7,64,0,0,0.00,0.00,15.7,34.2,848.0,3600.00
2022-01-02T11:00,28.6,32.0,60,0,10,0.00,0.00,17.2,38.5,933.0,3600.00
2022-01-02T12:00,28.6,31.8,62,0,4,0.00,0.00,21.0,45.7,989.0,3600.00
2022-01-02T13:00,28.6,31.8,62,0,8,0.00,0.00,21.6,47.5,1006.0,3600.00
2022-01-02T14:00,28.9,31.8,61,1,48,0.00,0.00,19.6,46.8,884.0,3600.00
2022-01-02T15:00,27.8,29.8,65,0,2,0.00,0.00,20.6,44.6,719.0,3600.00
2022-01-02T16:00,27.2,28.6,65,1,44,0.00,0.00,20.3,43.6,654.0,3600.00
2022-01-02T17:00,25.1,25.9,74,0,6,0.00,0.00,22.3,45.4,451.0,3600.00
2022-01-02T18:00,24.0,24.6,79,1,36,0.00,0.00,22.0,45.7,264.0,3600.00
2022-01-02T19:00,22.9,23.5,83,0,11,0.00,0.00,21.6,42.8,80.0,3600.00
2022-01-02T20:00,22.5,23.5,82,0,14,0.00,0.00,17.3,41.8,1.0,0.00
2022-01-02T21:00,22.5,24.9,78,3,81,0.00,0.00,5.0,33.1,0.0,0.00
2022-01-02T22:00,21.0,23.5,88,63,100,3.30,3.30,5.3,23.0,0.0,0.00
2022-01-02T23:00,20.9,22.7,87,3,84,0.00,0.00,8.9,16.9,0.0,0.00
2022-01-03T00:00,20.4,22.4,89,51,98,0.10,0.10,7.2,15.8,0.0,0.00
2022-01-03T01:00,20.2,22.5,88,51,8,0.10,0.10,4.3,13.3,0.0,0.00
2022-01-03T02:00,19.7,22.0,90,0,12,0.00,0.00,4.0,7.2,0.0,0.00
2022-01-03T03:00,19.0,21.1,93,0,7,0.00,0.00,5.4,7.2,0.0,0.00
2022-01-03T04:00,18.0,19.8,97,0,15,0.00,0.00,5.2,6.8,0.0,0.00
2022-01-03T05:00,17.9,20.0,98,1,47,0.00,0.00,3.8,7.2,0.0,0.00
2022-01-03T06:00,19.3,21.7,95,2,61,0.00,0.00,4.7,10.8,72.0,3600.00
2022-01-03T07:00,21.8,25.1,85,0,12,0.00,0.00,1.1,10.4,246.0,3600.00
2022-01-03T08:00,23.5,25.9,73,1,22,0.00,0.00,4.2,13.3,443.0,3600.00
2022-01-03T09:00,24.8,26.6,63,0,0,0.00,0.00,7.3,19.8,618.0,3600.00
2022-01-03T10:00,25.8,28.5,60,0,0,0.00,0.00,10.8,24.1,836.0,3600.00
2022-01-03T11:00,26.4,29.0,58,0,14,0.00,0.00,13.3,32.0,907.0,3600.00
2022-01-03T12:00,26.4,29.3,57,0,6,0.00,0.00,14.4,34.6,1004.0,3600.00
2022-01-03T13:00,26.3,29.2,57,0,12,0.00,0.00,14.0,34.6,983.0,3600.00
2022-01-03T14:00,26.0,28.5,59,0,12,0.00,0.00,14.1,33.8,904.0,3600.00
2022-01-03T15:00,25.9,28.0,60,1,37,0.00,0.00,13.0,33.1,788.0,3600.00
2022-01-03T16:00,25.3,26.6,63,2,52,0.00,0.00,13.1,31.3,631.0,3600.00
2022-01-03T17:00,24.8,25.9,64,0,19,0.00,0.00,11.1,29.9,455.0,3600.00
2022-01-03T18:00,23.9,25.1,67,1,34,0.00,0.00,9.7,24.8,255.0,3600.00
2022-01-03T19:00,22.3,24.2,77,1,41,0.00,0.00,7.4,19.8,79.0,3600.00
2022-01-03T20:00,21.5,23.3,82,0,11,0.00,0.00,8.6,14.4,1.0,0.00
2022-01-03T21:00,21.1,23.1,84,2,52,0.00,0.00,7.6,14.4,0.0,0.00
2022-01-03T22:00,20.0,22.2,90,0,15,0.00,0.00,5.2,12.6,0.0,0.00
2022-01-03T23:00,19.6,21.7,92,1,47,0.00,0.00,6.4,8.3,0.0,0.00
2022-01-04T00:00,20.2,22.7,87,1,24,0.00,0.00,3.4,7.9,0.0,0.00
2022-01-04T01:00,18.8,21.3,95,3,100,0.00,0.00,2.4,5.0,0.0,0.00
2022-01-04T02:00,18.5,20.6,98,2,67,0.00,0.00,5.5,10.1,0.0,0.00
2022-01-04T03:00,18.0,19.8,99,2,73,0.00,0.00,7.4,13.0,0.0,0.00
2022-01-04T04:00,18.1,20.0,100,3,97,0.00,0.00,7.0,13.0,0.0,0.00
2022-01-04T05:00,18.2,20.3,100,3,100,0.00,0.00,6.9,12.6,0.0,0.00
2022-01-04T06:00,19.5,21.7,96,3,100,0.00,0.00,7.6,14.4,52.0,2580.25
2022-01-04T07:00,21.2,23.2,87,51,33,0.20,0.20,9.4,20.9,198.0,3600.00
2022-01-04T08:00,22.5,24.2,79,53,26,0.50,0.50,10.1,23.0,408.0,3600.00
2022-01-04T09:00,24.0,24.8,66,1,24,0.00,0.00,11.9,27.4,558.0,3600.00
