Date,Holiday Name,Information,More Information,Jurisdiction
20250101,New Year's Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250127,Australia Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250310,Canberra Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250418,Good Friday,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250419,Easter Saturday - the day after Good Friday,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250420,Easter Sunday,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250421,Easter Monday,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250425,ANZAC Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250602,Reconciliation Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250609,King's Birthday,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20251006,Labour Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20251225,Christmas Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20251226,Boxing Day,,https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings,act
20250101,New Year's Day,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250127,Australia Day,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250418,Good Friday,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250419,Easter Saturday,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250420,Easter Sunday,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250421,Easter Monday,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250425,Anzac Day,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250609,King's Birthday,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250804,Bank Holiday,"Applies to banks and certain financial institutions, see the Retail Trading Act 2008.",https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20251006,Labour Day,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20251225,Christmas Day,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20251226,Boxing Day,,https://www.nsw.gov.au/about-nsw/public-holidays,nsw
20250101,New Year's Day,,https://www.nt.gov.au/nt-public-holidays,nt
20250127,Australia Day,,https://www.nt.gov.au/nt-public-holidays,nt
20250418,Good Friday,,https://www.nt.gov.au/nt-public-holidays,nt
20250419,Easter Saturday,,https://www.nt.gov.au/nt-public-holidays,nt
20250420,Easter Sunday,,https://www.nt.gov.au/nt-public-holidays,nt
20250421,Easter Monday,,https://www.nt.gov.au/nt-public-holidays,nt
20250425,Anzac Day,,https://www.nt.gov.au/nt-public-holidays,nt
20250505,May Day,,https://www.nt.gov.au/nt-public-holidays,nt
20250609,King's Birthday,,https://www.nt.gov.au/nt-public-holidays,nt
20250704,Alice Springs Show Day,"Regional holiday - to find out which show day applies to your area, check the map of NT show day regions.",https://www.nt.gov.au/nt-public-holidays,nt
20250711,Tennant Creek Show Day,"Regional holiday - to find out which show day applies to your area, check the map of NT show day regions.",https://www.nt.gov.au/nt-public-holidays,nt
20250718,Katherine Show Day,"Regional holiday - to find out which show day applies to your area, check the map of NT show day regions.",https://www.nt.gov.au/nt-public-holidays,nt
20250725,Darwin Show Day,"Regional holiday - to find out which show day applies to your area, check the map of NT show day regions.",https://www.nt.gov.au/nt-public-holidays,nt
20250804,Picnic Day,,https://www.nt.gov.au/nt-public-holidays,nt
20251224,Christmas Eve - part day holiday,Part day holiday - from 7pm to midnight only.,https://www.nt.gov.au/nt-public-holidays,nt
20251225,Christmas Day,,https://www.nt.gov.au/nt-public-holidays,nt
20251226,Boxing Day,,https://www.nt.gov.au/nt-public-holidays,nt
20251231,New Year's Eve - part day holiday,Part day holiday - from 7pm to midnight only.,https://www.nt.gov.au/nt-public-holidays,nt
20250101,New Year's Day,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250127,Australia Day,"Australia Day public holiday is to be observed on the 26 January or, if 26 January is a Saturday or Sunday, it shall be observed the following Monday.",https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250418,Good Friday,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250419,The day after Good Friday,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250420,Easter Sunday,Easter Sunday is appointed as a public holiday. These arrangements have been in place since 2017 following amendments to the Holidays Act 1983 (passed by Parliament on 1 December 2016).,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250421,Easter Monday,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250425,Anzac Day,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250505,Labour Day,Labour Day public holiday is to be observed on the first Monday in May and the Birthday of the Sovereign (King's Birthday) public holiday is to be observed on the first Monday in October. These arrangements have been in place since 2016 following amendments to the Holidays Act 1983 (passed by Parliament on 13 October 2015).,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250813,Royal Queensland Show (Brisbane area only),"The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.",https://www.qld.gov.au/recreation/travel/holidays/public,qld
20251006,King's Birthday,Labour Day public holiday is to be observed on the first Monday in May and the Birthday of the Sovereign (King's Birthday) public holiday is to be observed on the first Monday in October. These arrangements have been in place since 2016 following amendments to the Holidays Act 1983 (passed by Parliament on 13 October 2015).,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20251224,Christmas Eve (24 December) 6pm - midnight,"From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve (24 December).",https://www.qld.gov.au/recreation/travel/holidays/public,qld
20251225,Christmas Day,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20251226,Boxing Day,,https://www.qld.gov.au/recreation/travel/holidays/public,qld
20250101,New Years Day,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250127,Australia Day public holiday,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250310,Adelaide Cup Day,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250418,Good Friday,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250419,Easter Saturday,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250420,Easter Sunday,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250421,Easter Monday,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250425,ANZAC Day,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20250609,Kings Birthday,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20251006,Labour Day,,https://www.safework.sa.gov.au/resources/public-holidays,sa
20251224,Christmas Eve: 7pm to midnight,,https://www.safework.sa.gov.au/resources/public-holidays,sa
