event_id,name,date,time,status,venue,city,state,address,latitude,longitude,category,genre,sub_genre,min_price,max_price,url,source,year
1AvGZbgGkRYltBv,Palace of Dreams Guided Tours,2026-06-16,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-16-06-2026/event/1300635BF0AE9E81,ticketmaster,2026
1AvGZbgGkRYltBd,Palace of Dreams Guided Tours,2026-06-17,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-17-06-2026/event/1300635BF0AE9E83,ticketmaster,2026
1AvGZbgGkRVOQaR,Palace of Dreams Guided Tours,2026-06-17,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-17-06-2026/event/1300635BF481A26F,ticketmaster,2026
1AvGZbgGkRYltB5,Palace of Dreams Guided Tours,2026-06-22,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-22-06-2026/event/1300635BF0AE9E8B,ticketmaster,2026
1AvGZbgGkRVOQaU,Palace of Dreams Guided Tours,2026-06-22,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-22-06-2026/event/1300635BF481A276,ticketmaster,2026
1AvGZbgGkRYltBC,Palace of Dreams Guided Tours,2026-06-23,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-23-06-2026/event/1300635BF0AE9E8E,ticketmaster,2026
1AvGZbgGkRYlyBo,Palace of Dreams Guided Tours,2026-06-24,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-24-06-2026/event/1300635BF0AF9E91,ticketmaster,2026
1AvGZbgGkRVOQ1Z,Palace of Dreams Guided Tours,2026-06-24,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-24-06-2026/event/1300635BF481A280,ticketmaster,2026
1AvGZbgGkRYlyBK,Palace of Dreams Guided Tours,2026-06-25,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-25-06-2026/event/1300635BF0AF9E93,ticketmaster,2026
1AvGZbgGkRVOQ1e,Palace of Dreams Guided Tours,2026-06-25,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-25-06-2026/event/1300635BF481A282,ticketmaster,2026
1AvGZbgGkRYlyB4,Palace of Dreams Guided Tours,2026-06-26,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-26-06-2026/event/1300635BF0AF9E95,ticketmaster,2026
1AvGZbgGkRVOQ17,Palace of Dreams Guided Tours,2026-06-26,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-26-06-2026/event/1300635BF481A284,ticketmaster,2026
1AvGZbgGkRYlyBx,Palace of Dreams Guided Tours,2026-07-06,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-06-07-2026/event/1300635BF0AF9EA2,ticketmaster,2026
1AvGZbgGkRVOn1Q,Palace of Dreams Guided Tours,2026-07-06,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-06-07-2026/event/1300635BF482A29A,ticketmaster,2026
1AKZkCeGkeyC_cw,NBL Harlem Globetrotters World Tour 2026,2026-07-06,19:00:00,onsale,WIN Entertainment Centre,Wollongong,NSW,Corner Of Crown & Harbour Streets,-34.42647834,150.90263958,Miscellaneous,Family,Other,,,https://www.ticketmaster.com.au/nbl-harlem-globetrotters-world-tour-2026-wollongong-06-07-2026/event/13006382B9399B72,ticketmaster,2026
1AvGZbgGkRYlyB0,Palace of Dreams Guided Tours,2026-07-07,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-07-07-2026/event/1300635BF0AF9EA4,ticketmaster,2026
1AvGZbgGkRVOn1j,Palace of Dreams Guided Tours,2026-07-07,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-07-07-2026/event/1300635BF482A29C,ticketmaster,2026
1AvGZbgGkRYlyBJ,Palace of Dreams Guided Tours,2026-07-08,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-08-07-2026/event/1300635BF0AF9EA6,ticketmaster,2026
1AvGZbgGkRVOn1r,Palace of Dreams Guided Tours,2026-07-08,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-08-07-2026/event/1300635BF482A29E,ticketmaster,2026
1AvGZbgGkRYlyBI,Palace of Dreams Guided Tours,2026-07-09,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-09-07-2026/event/1300635BF0AF9EA8,ticketmaster,2026
1AvGZbgGkRVOn1O,Palace of Dreams Guided Tours,2026-07-09,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-09-07-2026/event/1300635BF482A2A0,ticketmaster,2026
1AKZk39GkeEZ7B-,Abbie Chatfield Loves Men,2026-07-10,19:00:00,onsale,Anita's Theatre,Thirroul,NSW,264-270 Lawrence Hargrave Dr,-34.314659,150.922836,Miscellaneous,Lecture/Seminar,Lecture/Seminar,,,https://www.ticketmaster.com.au/abbie-chatfield-loves-men-thirroul-10-07-2026/event/13006497A7004EA1,ticketmaster,2026
ZFwVzcymWZ17kA4N,Fashion Thrift Society Sydney | July 11,2026-07-11,10:00:00,onsale,Sydney Showground,Sydney Olympic Park,NSW,Showground Rd,-33.846283,151.067227,Miscellaneous,Fairs & Festivals,Fairs & Festivals,,,https://www.moshtix.com.au/v2/event/fashion-thrift-society-sydney-july-11/185563,ticketmaster,2026
1k7Yv0JFGAuYd1P,Abbie Chatfield Loves Men,2026-07-11,19:00:00,onsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Lecture/Seminar,Lecture/Seminar,,,https://www.ticketmaster.com.au/abbie-chatfield-loves-men-sydney-11-07-2026/event/130064988DC032A5,ticketmaster,2026
1AvGZbgGkRYiaBi,Palace of Dreams Guided Tours,2026-07-13,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-13-07-2026/event/1300635BF0B09EAC,ticketmaster,2026
1AvGZbgGkRVOn1n,Palace of Dreams Guided Tours,2026-07-13,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-13-07-2026/event/1300635BF482A2AA,ticketmaster,2026
1AvGZbgGkRYiaBY,Palace of Dreams Guided Tours,2026-07-15,10:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-15-07-2026/event/1300635BF0B09EB0,ticketmaster,2026
1AvGZbgGkRVOB1m,Palace of Dreams Guided Tours,2026-07-15,13:00:00,offsale,"State Theatre, Sydney",Sydney,NSW,49 Market Street,-33.870824,151.207907,Miscellaneous,Undefined,Undefined,,,https://www.ticketmaster.com.au/palace-of-dreams-guided-tours-sydney-15-07-2026/event/1300635BF483A2AE,ticketmaster,2026
