event_id,name,date,time,status,venue,city,state,address,latitude,longitude,category,genre,sub_genre,min_price,max_price,url,source,year
ZFwVzcymWZ17k4qS,ABOVE — June 13 ft. KLP,2026-06-13,21:30:00,offsale,ivy Sydney,Sydney,NSW,330 George Street,-33.86653696,151.20752289,Music,Dance/Electronic,Dance/Electronic,,,https://www.moshtix.com.au/v2/event/above-june-13-ft-klp/195773,ticketmaster,2026
1AKZk3aGkdhnM_g,OneSydney - Together In Christ,2026-06-14,14:00:00,offsale,Sydney Opera House - Concert Hall,Sydney,NSW,Bennelong Point (Near Circular Quay),-33.869579,151.210004,Music,Other,Other,,,https://www.ticketmaster.com.au/onesydney-together-in-christ-sydney-14-06-2026/event/13006489DBAB7675,ticketmaster,2026
1AvGZ_FGknQC7yn,OneSydney - Together In Christ,2026-06-14,19:00:00,offsale,Sydney Opera House - Concert Hall,Sydney,NSW,Bennelong Point (Near Circular Quay),-33.869579,151.210004,Music,Other,Other,,,https://www.ticketmaster.com.au/onesydney-together-in-christ-sydney-14-06-2026/event/1300648A9A384E6A,ticketmaster,2026
ZFwVzcymWZ17k4a9,CORTISA STAR,2026-06-14,19:00:00,offsale,Lansdowne Hotel,Sydney,NSW,"2-6 City Rd, Chippendale",-33.884795,151.19502,Music,Alternative,Electronic Pop,,,https://www.moshtix.com.au/v2/event/cortisa-star/195257,ticketmaster,2026
ZFwVzcymWZ17kK0x,Cola | Australia Tour | Sydney w/ Crocodylus & Stirr,2026-06-14,19:00:00,onsale,Mary's Underground,Circular Quay,NSW,29 Reiby Place,-33.86192126,151.21007134,Music,Rock,Alternative Rock,,,https://www.moshtix.com.au/v2/event/cola-australia-tour-sydney-w-crocodylus-stirr/193922,ticketmaster,2026
ZFwVzcymWZ17kfJ9,YUKI CHIBA,2026-06-14,19:30:00,onsale,Manning Bar,Camperdown,NSW,Manning Rd,-33.886691,151.188164,Music,Hip-Hop/Rap,Hip-Hop/Rap,,,https://www.moshtix.com.au/v2/event/yuki-chiba/194997,ticketmaster,2026
1AKZk8tGkeInVDd,Chris Botti,2026-06-15,20:30:00,offsale,Sydney Opera House - Concert Hall,Sydney,NSW,Bennelong Point (Near Circular Quay),-33.869579,151.210004,Music,Jazz,Jazz,,,https://www.ticketmaster.com.au/chris-botti-sydney-15-06-2026/event/13006429A8AB4EC3,ticketmaster,2026
ZFwVzcymWZ17kfZ9,aron! with special guest FELIVAND,2026-06-16,18:00:00,onsale,The Vanguard,Newtown,NSW,42 King St,-33.892841,151.186356,Music,Pop,Pop,,,https://www.moshtix.com.au/v2/event/aron-with-special-guest-felivand/194017,ticketmaster,2026
ZFwVzcymWZ17k3qP,Kim Churchill - Night 1,2026-06-17,19:00:00,onsale,The Vanguard,Newtown,NSW,42 King St,-33.892841,151.186356,Music,Rock,Pop,,,https://www.moshtix.com.au/v2/event/kim-churchill-night-1/192765,ticketmaster,2026
ZFwVzcymWZ17k6Pd,Sanguisugabogg Australian Tour 2026 ,2026-06-17,19:00:00,onsale,Manning Bar,Camperdown,NSW,Manning Rd,-33.886691,151.188164,Music,Metal,Heavy Metal,,,https://www.moshtix.com.au/v2/event/sanguisugabogg-australian-tour-2026/187943,ticketmaster,2026
ZFwVzcymWZ17k30b,RACHAEL FAHIM: The Who You Are Tour w/ Lachie Gill ,2026-06-18,19:00:00,onsale,La La La's,Wollongong,NSW,3 Globe Lane,-34.42515627,150.89389192,Music,Country,Country,,,https://www.moshtix.com.au/v2/event/rachael-fahim-the-who-you-are-tour-w-lachie-gill/192918,ticketmaster,2026
ZFwVzcymWZ17k3q8,Kim Churchill - Night 2,2026-06-18,19:00:00,onsale,The Vanguard,Newtown,NSW,42 King St,-33.892841,151.186356,Music,Rock,Pop,,,https://www.moshtix.com.au/v2/event/kim-churchill-night-2/192750,ticketmaster,2026
ZFwVzcymWZ17kKQ6,PROTOMARTYR,2026-06-18,19:00:00,onsale,Mary's Underground,Circular Quay,NSW,29 Reiby Place,-33.86192126,151.21007134,Music,Rock,Pop,,,https://www.moshtix.com.au/v2/event/protomartyr/193687,ticketmaster,2026
1AKZkotGkesVNvy,JON STEVENS The Noiseworks & INXS Collection '26 Tour,2026-06-18,19:30:00,onsale,Anita's Theatre,Thirroul,NSW,264-270 Lawrence Hargrave Dr,-34.314659,150.922836,Music,Rock,Pop,,,https://www.ticketmaster.com.au/jon-stevens-the-noiseworks-inxs-collection-thirroul-18-06-2026/event/13006469B1D23079,ticketmaster,2026
ZFwVzcymWZ17k4O-,ivy Thursdays - 18th June,2026-06-18,21:00:00,onsale,ivy Sydney,Sydney,NSW,330 George Street,-33.86653696,151.20752289,Music,Dance/Electronic,Dance/Electronic,,,https://www.moshtix.com.au/v2/event/ivy-thursdays-18th-june/195821,ticketmaster,2026
ZFwVzcymWZ17kfpA,Rolling Blackouts Coastal Fever ,2026-06-19,18:00:00,onsale,Hotel Brunswick,Brunswick Heads,NSW,4 Mullumbimbi St,-28.53969362,153.55171342,Music,Alternative,Alternative Rock,,,https://www.moshtix.com.au/v2/event/rolling-blackouts-coastal-fever/194585,ticketmaster,2026
ZFwVzcymWZ17kfjx,True Vibenation,2026-06-19,19:00:00,onsale,The Vanguard,Newtown,NSW,42 King St,-33.892841,151.186356,Music,Hip-Hop/Rap,Urban,,,https://www.moshtix.com.au/v2/event/true-vibenation/194722,ticketmaster,2026
