event_id,name,date,time,status,venue,city,state,address,latitude,longitude,category,genre,sub_genre,min_price,max_price,url,source,year
1APZk8JGkeMgbw_,GIANTS Netball v NSW Swifts,2026-06-14,16:00:00,offsale,Ken Rosewall Arena,Sydney Olympic Park,NSW,Cnr Olympic Blvd & Shirley Strickland Ave,-33.85385614,151.07196768,Sports,Netball,Netball,,,https://www.ticketmaster.com.au/giants-netball-v-nsw-swifts-sydney-olympic-park-14-06-2026/event/25006426B7D58C99,ticketmaster,2026
1avGZ_A1_-kZd526,2026 NRL Telstra Premiership - Newcastle Knights v Dragons,2026-06-19,20:00:00,onsale,McDonald Jones Stadium,Newcastle,NSW,294 Turton Rd,-32.916649,151.726257,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-newcastle-knights-newcastle-19-06-2026/event/1300645299846AE6,ticketmaster,2026
1APZkoYGkd424BF,Civic Stakes Day,2026-06-20,10:00:00,onsale,Royal Randwick Racecourse,Randwick,NSW,Alison Road,-33.908595,151.22896,Sports,Equestrian,Horse Racing,,,https://www.ticketmaster.com.au/civic-stakes-day-randwick-20-06-2026/event/25006470D53D5E88,ticketmaster,2026
1AKZk8UGkdisbz0,GWS GIANTS v Carlton,2026-06-20,16:15:00,onsale,ENGIE Stadium,Olympic Park,NSW,Grand Parade,-33.843016,151.067664,Sports,Football,AFL,,,https://www.ticketmaster.com.au/gws-giants-v-carlton-olympic-park-20-06-2026/event/13006436ECC58E24,ticketmaster,2026
15efZ_71A7s-k,2026 NRL Telstra Premiership Bulldogs v Sea Eagles (Round 16),2026-06-20,19:30:00,onsale,Accor Stadium,Sydney Olympic Park,NSW,15 Edwin Flack Avenue,-33.848603,151.061717,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-bulldogs-v-sydney-olympic-park-20-06-2026/event/2500644285131846,ticketmaster,2026
16efZ_7fzG7nMKc,2026 NRL Telstra Premiership - Sydney Roosters v Sharks (Round 16),2026-06-21,18:15:00,onsale,Allianz Stadium,Sydney,NSW,Moore Park Rd,-33.888345,151.226623,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-sydney-roosters-sydney-21-06-2026/event/2500644538AB74ED,ticketmaster,2026
1AefZ_eGkTlkt3H,2026 NRL Telstra Premiership - Parramatta Eels v Rabbitohs (Round 17),2026-06-25,19:50:00,onsale,CommBank Stadium,Parramatta,NSW,11-13 O'Connell Street,-33.808133,150.999678,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-parramatta-eels-parramatta-25-06-2026/event/2500642FEB1A94BC,ticketmaster,2026
1APZkoYGkdq7Jo1,McKell Cup Day,2026-06-27,10:00:00,onsale,Rosehill Gardens Racecourse,Rosehill,NSW,James Ruse Dr,-33.822586,151.023369,Sports,Equestrian,Horse Racing,,,https://www.ticketmaster.com.au/mckell-cup-day-rosehill-27-06-2026/event/25006470DD12644A,ticketmaster,2026
1AvGZ_eGkUYeAQx,2026 NRL Telstra Premiership Sea Eagles v Storm (Round 17),2026-06-27,19:35:00,onsale,4 Pines Park,Brookvale,NSW,Pittwater Road,-33.761176,151.276451,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-sea-eagles-brookvale-27-06-2026/event/1300642DB00856A2,ticketmaster,2026
16KZko3JbZA8658u,2026 NRL Telstra Premiership - Newcastle Knights v Wests Tigers,2026-06-28,16:05:00,onsale,McDonald Jones Stadium,Newcastle,NSW,294 Turton Rd,-32.916649,151.726257,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-newcastle-knights-newcastle-28-06-2026/event/13006452998F6AFC,ticketmaster,2026
17a8v0G653_Fx03,Sydney Swans v Western Bulldogs - RED ZONE,2026-07-03,19:40:00,onsale,Sydney Cricket Ground,Moore Park,NSW,Driver Avenue,-33.889832,151.223348,Sports,Football,AFL,,,https://www.ticketmaster.com.au/sydney-swans-v-western-bulldogs-red-moore-park-03-07-2026/event/250064B499222912,ticketmaster,2026
17a8v0G65K82p52,Sydney Swans V Western Bulldogs,2026-07-03,19:40:00,onsale,Sydney Cricket Ground,Moore Park,NSW,Driver Avenue,-33.889832,151.223348,Sports,Football,AFL,,,https://www.ticketmaster.com.au/sydney-swans-v-western-bulldogs-moore-park-03-07-2026/event/250064B4D03D62CF,ticketmaster,2026
1AefZbzGkTuuguK, 2026 NRL Telstra Premiership Penrith Panthers v Rabbitohs (Round 18),2026-07-03,20:00:00,onsale,CommBank Stadium,Parramatta,NSW,11-13 O'Connell Street,-33.808133,150.999678,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-penrith-panthers-parramatta-03-07-2026/event/2500638FCD375353,ticketmaster,2026
1APZkoYGkdq2UoL,Members Appreciation Day,2026-07-04,10:00:00,onsale,Rosehill Gardens Racecourse,Rosehill,NSW,James Ruse Dr,-33.822586,151.023369,Sports,Equestrian,Horse Racing,,,https://www.ticketmaster.com.au/members-appreciation-day-rosehill-04-07-2026/event/25006470DD3F645F,ticketmaster,2026
15efZbU-U8Fay,The Nations Championship - Wallabies v Ireland,2026-07-04,20:00:00,onsale,Allianz Stadium,Sydney,NSW,Moore Park Rd,-33.888345,151.226623,Sports,Rugby,Rugby Union,,,https://www.ticketmaster.com.au/the-nations-championship-wallabies-v-ireland-sydney-04-07-2026/event/2500636876408279,ticketmaster,2026
1AefZ_eGkTlFaK2,2026 NRL Telstra Premiership - Parramatta Eels v Sea Eagles (Round 18),2026-07-05,14:00:00,onsale,CommBank Stadium,Parramatta,NSW,11-13 O'Connell Street,-33.808133,150.999678,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-parramatta-eels-parramatta-05-07-2026/event/2500642FEB2094CF,ticketmaster,2026
16vGZ_6xAG7Sszx,NSW Waratahs Women V QLD Reds Women,2026-07-05,16:05:00,onsale,Leichhardt Oval,Lilyfield,NSW,Mary St,-33.868673,151.154016,Sports,Rugby,Rugby Union,,,https://www.ticketmaster.com.au/nsw-waratahs-women-v-qld-reds-lilyfield-05-07-2026/event/1300647885CF1E22,ticketmaster,2026
16vGZ_A1_G7tkiw,2026 NRL Telstra Premiership - Newcastle Knights v Dolphins,2026-07-05,16:05:00,onsale,McDonald Jones Stadium,Newcastle,NSW,294 Turton Rd,-32.916649,151.726257,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-newcastle-knights-newcastle-05-07-2026/event/1300645299A46B32,ticketmaster,2026
1APZkoYGkd44AB3,Racing For Good Charity Raceday,2026-07-11,10:00:00,onsale,Royal Randwick Racecourse,Randwick,NSW,Alison Road,-33.908595,151.22896,Sports,Equestrian,Horse Racing,,,https://www.ticketmaster.com.au/racing-for-good-charity-raceday-randwick-11-07-2026/event/25006470D5545E92,ticketmaster,2026
177Yv0G65rOrU2h,GWS Giants v Geelong,2026-07-11,16:15:00,onsale,ENGIE Stadium,Olympic Park,NSW,Grand Parade,-33.843016,151.067664,Sports,Football,AFL,,,https://www.ticketmaster.com.au/gws-giants-v-geelong-olympic-park-11-07-2026/event/130064B7A07B63DB,ticketmaster,2026
11a8v08IfEk7vC,2026 NRL Telstra Premiership Bulldogs v Raiders (Round 19),2026-07-11,17:30:00,onsale,Accor Stadium,Sydney Olympic Park,NSW,15 Edwin Flack Avenue,-33.848603,151.061717,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-bulldogs-v-sydney-olympic-park-11-07-2026/event/250064428527184D,ticketmaster,2026
15efZ_7fyqMfp,2026 NRL Telstra Premiership - Sydney Roosters v Eels (Round 19),2026-07-11,19:30:00,onsale,Allianz Stadium,Sydney,NSW,Moore Park Rd,-33.888345,151.226623,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-sydney-roosters-sydney-11-07-2026/event/2500644539777516,ticketmaster,2026
1AvGZ_kGkmzsAIi,Nations Championship - Japan v Ireland,2026-07-11,20:00:00,onsale,McDonald Jones Stadium,Newcastle,NSW,294 Turton Rd,-32.916649,151.726257,Sports,Rugby,Rugby Union,,,https://www.ticketmaster.com.au/nations-championship-japan-v-ireland-newcastle-11-07-2026/event/1300646BB8C45A2C,ticketmaster,2026
177Yv0G65RvDMFD,2026 NRLW Telstra Premiership - St George Illawarra Dragons v Eels,2026-07-12,13:45:00,onsale,WIN Stadium,Wollongong,NSW,Corner Of Crown & Harbour Streets,-34.4272334,150.90241326,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrlw-telstra-premiership-st-george-wollongong-12-07-2026/event/130064BBC1EF723B,ticketmaster,2026
1APZkoaGkd5PVfm,2026 NRL Telstra Premiership - Rabbitohs v Knights (Round 19),2026-07-12,14:00:00,onsale,Accor Stadium,Sydney Olympic Park,NSW,15 Edwin Flack Avenue,-33.848603,151.061717,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-rabbitohs-v-sydney-olympic-park-12-07-2026/event/25006449CB97452E,ticketmaster,2026
1AvGZ_eGkUY14QW,2026 NRL Telstra Premiership Sea Eagles v Cowboys (Round 19),2026-07-12,16:05:00,onsale,4 Pines Park,Brookvale,NSW,Pittwater Road,-33.761176,151.276451,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-sea-eagles-brookvale-12-07-2026/event/1300642DB02956BD,ticketmaster,2026
1AefZbzGkTu2guh, 2026 NRL Telstra Premiership Penrith Panthers v Broncos (Round 20),2026-07-16,19:50:00,onsale,CommBank Stadium,Parramatta,NSW,11-13 O'Connell Street,-33.808133,150.999678,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-penrith-panthers-parramatta-16-07-2026/event/2500638FCD3F535B,ticketmaster,2026
