event_id,name,date,time,status,venue,city,state,address,latitude,longitude,category,genre,sub_genre,min_price,max_price,url,source,year
LvZ18QLRBahoO_ZZv4AbF,Snowtopia - Liverpool,2026-06-27,09:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Aba,Snowtopia - Liverpool,2026-06-27,10:30:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Ab1,Snowtopia - Liverpool,2026-06-27,12:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Ab5,Snowtopia - Liverpool,2026-06-27,13:30:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4AbG,Snowtopia - Liverpool,2026-06-27,15:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Abu,Snowtopia - Liverpool,2026-06-28,09:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4AbC,Snowtopia - Liverpool,2026-06-28,10:30:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Ab2,Snowtopia - Liverpool,2026-06-28,12:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Ab8,Snowtopia - Liverpool,2026-06-28,13:30:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Abo,Snowtopia - Liverpool,2026-06-28,15:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Ab3,Snowtopia - Liverpool,2026-06-29,09:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4AbK,Snowtopia - Liverpool,2026-06-29,10:30:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Abf,Snowtopia - Liverpool,2026-06-29,12:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Ab4,Snowtopia - Liverpool,2026-06-29,13:30:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
LvZ18QLRBahoO_ZZv4Abp,Snowtopia - Liverpool,2026-06-29,15:00:00,onsale,Woodward Park,Liverpool,NSW,Hoxton Park Rd,-33.92748686,150.91584472,Undefined,,,,,https://www.universe.com/events/snowtopia-liverpool-tickets-HGX074?ref=ticketmaster,ticketmaster,2026
