mode,alert_id,effect,cause,header,description,start_unix,end_unix,route_id,stop_id,agency_id,start_dt,end_dt
sydneytrains,2d2327d7-e85e-5d71-9da4-c22f89cc3fd8,6,9,T1 North Shore Line: Buses replace trains between Hornsby and Milsons Point. Use metro services between Victoria Cross and the City,"Saturday 13 and Sunday 14 June 
Buses replace trains between Hornsby and Milsons Point, also stopping at Crows Nest and Victoria Cross metro stations.
Use metro services between Chatswood, Crows Nest or Victoria Cross and the City.
T9 trains run between Berowra and Central, platforms 1-14 only.
On Sunday some late-night buses run between T1 North Shore Line stations and Wynyard.",1781280000,1781452816,NSN_1a,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:16
sydneytrains,2d2327d7-e85e-5d71-9da4-c22f89cc3fd8,6,9,T1 North Shore Line: Buses replace trains between Hornsby and Milsons Point. Use metro services between Victoria Cross and the City,"Saturday 13 and Sunday 14 June 
Buses replace trains between Hornsby and Milsons Point, also stopping at Crows Nest and Victoria Cross metro stations.
Use metro services between Chatswood, Crows Nest or Victoria Cross and the City.
T9 trains run between Berowra and Central, platforms 1-14 only.
On Sunday some late-night buses run between T1 North Shore Line stations and Wynyard.",1781280000,1781452816,NSN_2a,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:16
sydneytrains,2d2327d7-e85e-5d71-9da4-c22f89cc3fd8,6,9,T1 North Shore Line: Buses replace trains between Hornsby and Milsons Point. Use metro services between Victoria Cross and the City,"Saturday 13 and Sunday 14 June 
Buses replace trains between Hornsby and Milsons Point, also stopping at Crows Nest and Victoria Cross metro stations.
Use metro services between Chatswood, Crows Nest or Victoria Cross and the City.
T9 trains run between Berowra and Central, platforms 1-14 only.
On Sunday some late-night buses run between T1 North Shore Line stations and Wynyard.",1781280000,1781452816,NSN_2i,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:16
sydneytrains,2d2327d7-e85e-5d71-9da4-c22f89cc3fd8,6,9,T1 North Shore Line: Buses replace trains between Hornsby and Milsons Point. Use metro services between Victoria Cross and the City,"Saturday 13 and Sunday 14 June 
Buses replace trains between Hornsby and Milsons Point, also stopping at Crows Nest and Victoria Cross metro stations.
Use metro services between Chatswood, Crows Nest or Victoria Cross and the City.
T9 trains run between Berowra and Central, platforms 1-14 only.
On Sunday some late-night buses run between T1 North Shore Line stations and Wynyard.",1781280000,1781452816,NSN_2k,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:16
sydneytrains,51bfa116-22f8-5fc5-ac31-33729e1e4101,6,9,Buses replace trains between Bomaderry and Wollongong,"Friday 12 to Sunday 14 June 
From 3:40PM Friday, buses replace trains between Bomaderry and Wollongong.
Trains run between Port Kembla, Wollongong and Central or Bondi Junction, some to a changed timetable.
Buses do not run to the train timetable. If connecting with trains at Wollongong, you may need to catch an earlier bus to ensure you meet your train connection.",1781242800,1781452821,4T.T.SCO,,X000,2026-06-12 05:40:00,2026-06-14 16:00:21
sydneytrains,51bfa116-22f8-5fc5-ac31-33729e1e4101,6,9,Buses replace trains between Bomaderry and Wollongong,"Friday 12 to Sunday 14 June 
From 3:40PM Friday, buses replace trains between Bomaderry and Wollongong.
Trains run between Port Kembla, Wollongong and Central or Bondi Junction, some to a changed timetable.
Buses do not run to the train timetable. If connecting with trains at Wollongong, you may need to catch an earlier bus to ensure you meet your train connection.",1781242800,1781452821,SCO_2a,,NSWTrains,2026-06-12 05:40:00,2026-06-14 16:00:21
sydneytrains,51bfa116-22f8-5fc5-ac31-33729e1e4101,6,9,Buses replace trains between Bomaderry and Wollongong,"Friday 12 to Sunday 14 June 
From 3:40PM Friday, buses replace trains between Bomaderry and Wollongong.
Trains run between Port Kembla, Wollongong and Central or Bondi Junction, some to a changed timetable.
Buses do not run to the train timetable. If connecting with trains at Wollongong, you may need to catch an earlier bus to ensure you meet your train connection.",1781242800,1781452821,SCO_2b,,NSWTrains,2026-06-12 05:40:00,2026-06-14 16:00:21
sydneytrains,51bfa116-22f8-5fc5-ac31-33729e1e4101,6,9,Buses replace trains between Bomaderry and Wollongong,"Friday 12 to Sunday 14 June 
From 3:40PM Friday, buses replace trains between Bomaderry and Wollongong.
Trains run between Port Kembla, Wollongong and Central or Bondi Junction, some to a changed timetable.
Buses do not run to the train timetable. If connecting with trains at Wollongong, you may need to catch an earlier bus to ensure you meet your train connection.",1781242800,1781452821,SCO_1a,,NSWTrains,2026-06-12 05:40:00,2026-06-14 16:00:21
sydneytrains,51bfa116-22f8-5fc5-ac31-33729e1e4101,6,9,Buses replace trains between Bomaderry and Wollongong,"Friday 12 to Sunday 14 June 
From 3:40PM Friday, buses replace trains between Bomaderry and Wollongong.
Trains run between Port Kembla, Wollongong and Central or Bondi Junction, some to a changed timetable.
Buses do not run to the train timetable. If connecting with trains at Wollongong, you may need to catch an earlier bus to ensure you meet your train connection.",1781242800,1781452821,SCO_1b,,NSWTrains,2026-06-12 05:40:00,2026-06-14 16:00:21
sydneytrains,c3229153-be03-584b-98c4-6d0661e54de1,6,9,"Trains run between Berowra or Hornsby and Central, platforms 1-14","Saturday 13 and Sunday 14 June 
Trains run between Berowra or Hornsby and Central, platforms 1-14 only.
If travelling to:
- T1 North Shore Line stations, change at Epping or Central for metro services to Victoria Cross, 
Crows Nest or Chatswood, then change for a bus.",1781280000,1781452848,NTH_2a,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:48
sydneytrains,c3229153-be03-584b-98c4-6d0661e54de1,6,9,"Trains run between Berowra or Hornsby and Central, platforms 1-14","Saturday 13 and Sunday 14 June 
Trains run between Berowra or Hornsby and Central, platforms 1-14 only.
If travelling to:
- T1 North Shore Line stations, change at Epping or Central for metro services to Victoria Cross, 
Crows Nest or Chatswood, then change for a bus.",1781280000,1781452848,NTH_1a,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:48
sydneytrains,c3229153-be03-584b-98c4-6d0661e54de1,6,9,"Trains run between Berowra or Hornsby and Central, platforms 1-14","Saturday 13 and Sunday 14 June 
Trains run between Berowra or Hornsby and Central, platforms 1-14 only.
If travelling to:
- T1 North Shore Line stations, change at Epping or Central for metro services to Victoria Cross, 
Crows Nest or Chatswood, then change for a bus.",1781280000,1781452848,NTH_1b,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:48
sydneytrains,244c715e-fb80-536e-b685-86220ecd9814,6,9,T1 Western Line: Trains run to a changed timetable and stopping pattern,"Saturday 13 and Sunday 14 June 
Trains run to a changed timetable and stopping pattern between:
- Richmond and Olympic Park, making extra stops at Harris Park and Granville. You may need to change trains at Parramatta or Granville to continue your journey.
- Penrith and Central, platforms 1-14 only.",1781280000,1781452851,WST_1a,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:51
sydneytrains,244c715e-fb80-536e-b685-86220ecd9814,6,9,T1 Western Line: Trains run to a changed timetable and stopping pattern,"Saturday 13 and Sunday 14 June 
Trains run to a changed timetable and stopping pattern between:
- Richmond and Olympic Park, making extra stops at Harris Park and Granville. You may need to change trains at Parramatta or Granville to continue your journey.
- Penrith and Central, platforms 1-14 only.",1781280000,1781452851,WST_1b,,SydneyTrains,2026-06-12 16:00:00,2026-06-14 16:00:51
