mode,alert_id,effect,cause,header,description,start_unix,end_unix,route_id,stop_id,agency_id
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2507_N81,,2507
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2507_N81,,2507
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2459_526,,2459
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2459_526,,2459
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2507_533,,2507
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2507_533,,2507
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2459_770s,,2459
buses,7f95091d-22bd-54d0-9275-ed8601cf6394,4,10,"Footbridge Blvd, Wentworth Point bus diversions","From 5 AM Tuesday 2 to 7 AM Monday 15 June, buses will divert and miss some stops while roadworks take place.",1780340400,1781470800,2459_770s,,2459
buses,70efff49-241a-523f-904b-acb84bf645c8,6,2,Parramatta CBD diversions due to Parramatta Half Marathon,"On Sunday 21 June, from 3AM to 11AM, route 545 buses will be diverting and using different stops while roads are closed for the Parramatta Half Marathon. 
Buses will divert around George St and Macarthur St via Wilde Ave, Smith St and Station St East in both directions to access Parramatta Bus Interchange, making stops along the detoured route. 
Stops on George St and Macarthur St will be missed in both directions. 
Visit the Parramatta Half Marathon event page for more details.",1781974800,1782003611,2501_545,,2501
buses,08c2a2ac-b846-5919-90a3-77e092b37d73,4,10,"York St, Sydney bus diversions","From 4 PM Sunday 21 to 5 AM Monday 22 June, buses will divert and miss stop Q V B, York St, Stand D and instead use Stand E while roadworks take place.",1782021600,1782068400,2507_120,,2507
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2454_N70,,2454
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2454_N70,,2454
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2504_N50,,2504
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2504_N50,,2504
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2504_N60,,2504
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2504_N60,,2504
buses,5fd41dd4-0e18-53b1-95d8-9e62efb3de0d,8,10,Temporary bus diversions due to construction work,"Friday 26 and Saturday 27 June
From 4PM to 5AM, route 610X, 607X, N50, N60, N70, N71 and N92 services will divert and miss stops due to construction work.",1782453600,1782500447,2504_N70,,2504
