mode,alert_id,effect,cause,header,description,start_unix,end_unix,route_id,stop_id,agency_id
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781523600,1781537400,1001_L2,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781523600,1781537400,1001_L2,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781523600,1781537400,1001_L3,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781523600,1781537400,1001_L3,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781610000,1781623800,1001_L2,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781610000,1781623800,1001_L2,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781610000,1781623800,1001_L3,,SLR
lightrail,902951e1-c6f6-5716-93e6-3f37c37f2912,6,9,Train trackwork in the City may affect how you travel,"Monday 15 and Tuesday 16 June
Nightly from 9:40PM to 1:30AM, train trackwork on the City Circle may affect how you travel.
Trains do not run between Central and Wynyard, or on the City Circle.
Use light rail services between Central and Circular Quay.
For travel to T1 North Shore Line stations change at Wynyard or use metro services from Central.",1781610000,1781623800,1001_L3,,SLR
lightrail,f8d8d56d-8ecc-5698-aa86-96451d50c608,6,2,L4 partial line closure for Parramatta Half Marathon,"On Sunday 21 June, from 5AM to 12 midday, L4 Westmead and Carlingford Line light rail services will not run between Westmead and Parramatta Square due to road closures for the Parramatta Half Marathon.",1781982000,1782007235,ISD-17-6720_L4,,PLR
lightrail,f8d8d56d-8ecc-5698-aa86-96451d50c608,6,2,L4 partial line closure for Parramatta Half Marathon,"On Sunday 21 June, from 5AM to 12 midday, L4 Westmead and Carlingford Line light rail services will not run between Westmead and Parramatta Square due to road closures for the Parramatta Half Marathon.",1781982000,1782007235,ISD-17-6720_L4,,PLR
