datetime,location,pedestrian_count_sum,pedestrian_count_mean,pedestrian_sensor_count
2020-01-03 11:00:00,Sydney CBD,4486,1121.5,4
2020-01-03 12:00:00,Sydney CBD,3436,859.0,4
2020-01-03 13:00:00,Sydney CBD,2962,740.5,4
2020-01-03 14:00:00,Sydney CBD,2444,611.0,4
2020-01-03 15:00:00,Sydney CBD,1294,323.5,4
2020-01-03 16:00:00,Sydney CBD,564,141.0,4
2020-01-03 17:00:00,Sydney CBD,599,149.75,4
2020-01-03 18:00:00,Sydney CBD,775,193.75,4
2020-01-03 19:00:00,Sydney CBD,1181,295.25,4
2020-01-03 20:00:00,Sydney CBD,2000,500.0,4
2020-01-03 21:00:00,Sydney CBD,3400,850.0,4
2020-01-03 22:00:00,Sydney CBD,4181,1045.25,4
2020-01-03 23:00:00,Sydney CBD,4738,1184.5,4
2020-01-04 00:00:00,Sydney CBD,4824,1206.0,4
2020-01-04 01:00:00,Sydney CBD,4788,1197.0,4
2020-01-04 02:00:00,Sydney CBD,5151,1287.75,4
2020-01-04 03:00:00,Sydney CBD,4919,1229.75,4
2020-01-04 04:00:00,Sydney CBD,4189,1047.25,4
2020-01-04 05:00:00,Sydney CBD,3757,939.25,4
2020-01-04 06:00:00,Sydney CBD,2828,707.0,4
2020-01-04 07:00:00,Sydney CBD,2273,568.25,4
2020-01-04 08:00:00,Sydney CBD,1849,462.25,4
2020-01-04 09:00:00,Sydney CBD,1551,387.75,4
2020-01-04 10:00:00,Sydney CBD,833,208.25,4
2020-01-04 11:00:00,Sydney CBD,79,19.75,4
2020-01-04 12:00:00,Sydney CBD,135,33.75,4
2020-01-04 13:00:00,Sydney CBD,104,26.0,4
2020-01-04 14:00:00,Sydney CBD,128,32.0,4
2020-01-04 15:00:00,Sydney CBD,108,27.0,4
2020-01-04 16:00:00,Sydney CBD,250,62.5,4
2020-01-04 17:00:00,Sydney CBD,818,204.5,4
2020-01-04 18:00:00,Sydney CBD,1051,262.75,4
2020-01-04 19:00:00,Sydney CBD,1461,365.25,4
2020-01-04 20:00:00,Sydney CBD,1106,276.5,4
2020-01-04 21:00:00,Sydney CBD,1052,263.0,4
2020-01-04 22:00:00,Sydney CBD,1204,301.0,4
