location,month,day_of_week,hour,crash_risk_count,fatal_crashes,serious_crashes,crash_risk_level
Albury,1,Friday,0,1,0,1,low
Albury,1,Friday,6,1,0,1,low
Albury,1,Friday,8,1,0,0,low
Albury,1,Friday,10,2,0,1,low
Albury,1,Friday,12,3,0,1,low
Albury,1,Friday,14,3,0,0,low
Albury,1,Friday,16,2,0,0,low
Albury,1,Friday,18,2,0,0,low
Albury,1,Friday,22,1,0,1,low
Albury,1,Monday,10,1,0,0,low
Albury,1,Monday,12,1,0,1,low
Albury,1,Monday,14,2,0,0,low
Albury,1,Monday,18,2,0,1,low
Albury,1,Monday,20,1,0,0,low
Albury,1,Monday,22,1,0,0,low
Albury,1,Saturday,0,1,0,0,low
Albury,1,Saturday,4,1,0,0,low
Albury,1,Saturday,6,2,0,0,low
Albury,1,Saturday,8,1,0,0,low
Albury,1,Saturday,10,2,0,1,low
Albury,1,Saturday,12,1,0,0,low
Albury,1,Saturday,14,2,0,0,low
Albury,1,Saturday,16,1,0,0,low
Albury,1,Saturday,18,1,0,1,low
Albury,1,Saturday,20,2,0,1,low
Albury,1,Saturday,22,2,0,0,low
Albury,1,Sunday,2,2,0,0,low
Albury,1,Sunday,8,3,0,1,low
Albury,1,Sunday,10,4,0,0,low
Albury,1,Sunday,12,1,0,0,low
Albury,1,Sunday,16,2,0,0,low
Albury,1,Sunday,18,1,0,0,low
Albury,1,Thursday,4,1,0,0,low
Albury,1,Thursday,6,1,0,1,low
Albury,1,Thursday,8,2,0,1,low
Albury,1,Thursday,10,2,1,0,low
Albury,1,Thursday,12,2,0,1,low
Albury,1,Thursday,14,3,0,0,low
Albury,1,Thursday,16,2,0,0,low
Albury,1,Thursday,18,4,0,0,low
Albury,1,Thursday,20,2,0,0,low
Albury,1,Thursday,22,2,0,1,low
Albury,1,Tuesday,2,2,0,0,low
Albury,1,Tuesday,6,1,0,0,low
Albury,1,Tuesday,8,1,0,0,low
Albury,1,Tuesday,10,2,0,1,low
Albury,1,Tuesday,12,3,0,0,low
Albury,1,Tuesday,14,3,0,1,low
Albury,1,Tuesday,16,7,0,1,medium
Albury,1,Tuesday,18,2,0,1,low
Albury,1,Tuesday,20,1,0,0,low
Albury,1,Tuesday,22,1,0,0,low
Albury,1,Wednesday,2,2,0,0,low
Albury,1,Wednesday,4,2,0,0,low
Albury,1,Wednesday,8,1,0,0,low
Albury,1,Wednesday,10,1,0,0,low
Albury,1,Wednesday,12,1,0,0,low
Albury,1,Wednesday,14,3,0,0,low
Albury,1,Wednesday,18,1,0,0,low
Albury,1,Wednesday,20,2,0,1,low
Albury,1,Wednesday,22,1,0,1,low
Albury,2,Friday,0,1,0,0,low
Albury,2,Friday,2,1,0,1,low
Albury,2,Friday,8,3,0,1,low
Albury,2,Friday,10,4,0,0,low
Albury,2,Friday,14,1,0,0,low
Albury,2,Friday,16,3,1,0,low
Albury,2,Friday,18,4,0,0,low
Albury,2,Friday,22,4,0,0,low
Albury,2,Monday,6,2,0,0,low
Albury,2,Monday,8,1,0,0,low
Albury,2,Monday,10,2,0,0,low
Albury,2,Monday,14,1,0,0,low
Albury,2,Monday,16,2,0,1,low
Albury,2,Monday,18,3,0,1,low
Albury,2,Monday,22,1,0,1,low
Albury,2,Saturday,0,1,0,0,low
Albury,2,Saturday,10,1,0,0,low
Albury,2,Saturday,12,1,1,1,low
